Node,Level
DRSId(1),0
SliceId(0),1
PairId(1),2
PairId(2),2
PairId(3),2
PairId(4),2
PairId(5),2
PairId(6),2
PairId(7),2
PairId(8),2
PairId(9),2
PairId(10),2
PairId(11),2
PairId(12),2
PairId(13),2
PairId(14),2
PairId(15),2
PairId(16),2
PairId(17),2
PairId(18),2
PairId(19),2
PairId(20),2
PairId(21),2
PairId(22),2
PairId(23),2
PairId(24),2
PairId(25),2
PairId(26),2
PairId(27),2
PairId(28),2
PairId(29),2
PairId(30),2
PairId(31),2
PairId(32),2
PairId(33),2
PairId(34),2
PairId(35),2
PairId(36),2
PairId(37),2
PairId(38),2
PairId(39),2
PairId(40),2
PairId(41),2
PairId(42),2
PairId(43),2
PairId(44),2
SliceId(1),1
PairId(45),2
PairId(46),2
PairId(47),2
PairId(48),2
PairId(49),2
PairId(50),2
PairId(51),2
PairId(52),2
PairId(53),2
PairId(54),2
PairId(55),2
PairId(56),2
PairId(57),2
PairId(58),2
PairId(59),2
PairId(60),2
PairId(61),2
PairId(62),2
PairId(63),2
PairId(64),2
PairId(65),2
PairId(66),2
PairId(67),2
PairId(68),2
PairId(69),2
PairId(70),2
PairId(71),2
PairId(72),2
PairId(73),2
PairId(74),2
PairId(75),2
PairId(76),2
PairId(77),2
PairId(78),2
PairId(79),2
PairId(80),2
PairId(81),2
PairId(82),2
PairId(83),2
PairId(84),2
PairId(85),2
PairId(86),2
PairId(87),2
PairId(88),2
SliceId(2),1
PairId(88),2
PairId(89),2
PairId(90),2
PairId(91),2
PairId(92),2
PairId(93),2
PairId(94),2
PairId(95),2
PairId(96),2
PairId(97),2
PairId(98),2
PairId(99),2
PairId(100),2
PairId(101),2
PairId(102),2
PairId(103),2
PairId(104),2
PairId(105),2
PairId(106),2
PairId(107),2
PairId(108),2
PairId(109),2
PairId(110),2
PairId(111),2
PairId(112),2
PairId(113),2
PairId(114),2
PairId(115),2
PairId(116),2
PairId(117),2
PairId(118),2
PairId(119),2
PairId(120),2
PairId(121),2
PairId(122),2
PairId(123),2
PairId(124),2
PairId(125),2
PairId(126),2
PairId(127),2
PairId(128),2
SliceId(3),1
PairId(129),2
PairId(130),2
PairId(131),2
PairId(132),2
PairId(133),2
PairId(134),2
PairId(135),2
PairId(136),2
PairId(137),2
PairId(138),2
PairId(139),2
PairId(140),2
PairId(141),2
PairId(142),2
PairId(143),2
PairId(144),2
PairId(145),2
PairId(146),2
PairId(147),2
PairId(148),2
PairId(149),2
PairId(150),2
PairId(151),2
PairId(152),2
PairId(153),2
PairId(154),2
PairId(155),2
PairId(156),2
PairId(157),2
PairId(158),2
PairId(159),2
PairId(160),2
PairId(161),2
PairId(162),2
PairId(163),2
PairId(164),2
PairId(165),2
PairId(166),2
PairId(167),2
PairId(168),2
PairId(169),2
PairId(170),2
PairId(171),2
PairId(172),2
PairId(173),2
PairId(174),2
PairId(175),2
SliceId(4),1
PairId(175),2
PairId(176),2
PairId(177),2
PairId(178),2
PairId(179),2
PairId(180),2
PairId(181),2
PairId(182),2
PairId(183),2
PairId(184),2
PairId(185),2
PairId(186),2
PairId(187),2
PairId(188),2
PairId(189),2
PairId(190),2
PairId(191),2
PairId(192),2
PairId(193),2
PairId(194),2
PairId(195),2
PairId(196),2
PairId(197),2
PairId(198),2
PairId(199),2
PairId(200),2
PairId(201),2
PairId(202),2
PairId(203),2
PairId(204),2
PairId(205),2
PairId(206),2
PairId(207),2
PairId(208),2
PairId(209),2
PairId(210),2
PairId(211),2
PairId(212),2
PairId(213),2
PairId(214),2
PairId(215),2
PairId(216),2
PairId(217),2
PairId(218),2
PairId(219),2
PairId(220),2
PairId(221),2
PairId(222),2
PairId(223),2
PairId(224),2
PairId(225),2
PairId(226),2
