Id,Level
DRSId(1),4
SliceId(0),3
PairId(1),2
ResonanceId(1),1
ResonanceId(2),1
PairId(2),2
ResonanceId(3),1
ResonanceId(4),1
PairId(3),2
ResonanceId(5),1
ResonanceId(6),1
PairId(4),2
ResonanceId(7),1
ResonanceId(8),1
PairId(5),2
ResonanceId(9),1
ResonanceId(10),1
PairId(6),2
ResonanceId(11),1
ResonanceId(12),1
PairId(7),2
ResonanceId(13),1
ResonanceId(14),1
PairId(8),2
ResonanceId(15),1
ResonanceId(16),1
PairId(9),2
ResonanceId(17),1
ResonanceId(18),1
PairId(10),2
ResonanceId(19),1
ResonanceId(20),1
PairId(11),2
ResonanceId(21),1
ResonanceId(22),1
PairId(12),2
ResonanceId(23),1
ResonanceId(24),1
PairId(13),2
ResonanceId(25),1
ResonanceId(26),1
PairId(14),2
ResonanceId(27),1
ResonanceId(28),1
PairId(15),2
ResonanceId(29),1
ResonanceId(30),1
PairId(16),2
ResonanceId(31),1
ResonanceId(32),1
PairId(17),2
ResonanceId(33),1
ResonanceId(34),1
PairId(18),2
ResonanceId(35),1
ResonanceId(36),1
PairId(19),2
ResonanceId(37),1
ResonanceId(38),1
PairId(20),2
ResonanceId(39),1
ResonanceId(40),1
PairId(21),2
ResonanceId(41),1
ResonanceId(42),1
PairId(22),2
ResonanceId(43),1
ResonanceId(44),1
PairId(23),2
ResonanceId(45),1
ResonanceId(46),1
PairId(24),2
ResonanceId(47),1
ResonanceId(48),1
PairId(25),2
ResonanceId(49),1
ResonanceId(50),1
PairId(26),2
ResonanceId(51),1
ResonanceId(52),1
PairId(27),2
ResonanceId(53),1
ResonanceId(54),1
PairId(28),2
ResonanceId(55),1
ResonanceId(56),1
PairId(29),2
ResonanceId(57),1
ResonanceId(58),1
PairId(30),2
ResonanceId(59),1
ResonanceId(60),1
PairId(31),2
ResonanceId(61),1
ResonanceId(62),1
PairId(32),2
ResonanceId(63),1
ResonanceId(64),1
PairId(33),2
ResonanceId(65),1
ResonanceId(66),1
PairId(34),2
ResonanceId(67),1
ResonanceId(68),1
PairId(35),2
ResonanceId(69),1
ResonanceId(70),1
PairId(36),2
ResonanceId(71),1
ResonanceId(72),1
PairId(37),2
ResonanceId(73),1
ResonanceId(74),1
PairId(38),2
ResonanceId(75),1
ResonanceId(76),1
PairId(39),2
ResonanceId(77),1
ResonanceId(78),1
PairId(40),2
ResonanceId(79),1
ResonanceId(80),1
PairId(41),2
ResonanceId(81),1
ResonanceId(82),1
PairId(42),2
ResonanceId(83),1
ResonanceId(84),1
PairId(43),2
ResonanceId(85),1
ResonanceId(86),1
PairId(44),2
ResonanceId(87),1
ResonanceId(88),1
SliceId(1),3
PairId(45),2
ResonanceId(89),1
ResonanceId(90),1
PairId(46),2
ResonanceId(91),1
ResonanceId(92),1
PairId(47),2
ResonanceId(93),1
ResonanceId(94),1
PairId(48),2
ResonanceId(95),1
ResonanceId(96),1
PairId(49),2
ResonanceId(97),1
ResonanceId(98),1
PairId(50),2
ResonanceId(99),1
ResonanceId(100),1
PairId(51),2
ResonanceId(101),1
ResonanceId(102),1
PairId(52),2
ResonanceId(103),1
ResonanceId(104),1
PairId(53),2
ResonanceId(105),1
ResonanceId(106),1
PairId(54),2
ResonanceId(107),1
ResonanceId(108),1
PairId(55),2
ResonanceId(109),1
ResonanceId(110),1
PairId(56),2
ResonanceId(111),1
ResonanceId(112),1
PairId(57),2
ResonanceId(113),1
ResonanceId(114),1
PairId(58),2
ResonanceId(115),1
ResonanceId(116),1
PairId(59),2
ResonanceId(117),1
ResonanceId(118),1
PairId(60),2
ResonanceId(119),1
ResonanceId(120),1
PairId(61),2
