,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
60,0,250,44100,0.0006160506511575,2.74559891373789,88.24443191495563,-18.066020152348788,2.1401981418904745e-07,(-0.0005683767764768227+0.00023762627117701398j),(554.4561180484585-113.51215238044821j),(0.9973505059234431-0.012540050546454717j)
174,250,250,44100,0.0041074733646531,1.7115970996084569,440.14214931581495,8.869032936351626,2.349613200268525e-05,(-0.0005764264144224524+0.004066825547044149j),(2765.494685651572+55.725777434576365j),(0.9992963318460186-0.06274777669148043j)
195,500,250,44100,0.0001614684050779,-1.1082891168586575,149.5646566370982,-32.30774256472347,1.0241101198185012e-08,(7.204612066669455e-05-0.00014450398726430114j),(939.7424530555753-202.99553339081103j),(0.9951815115818343-0.021209884293378067j)
348,750,250,44100,0.0075216488710155,1.7164638141938406,441.10266472490304,9.425148351642882,8.053207409024976e-05,(-0.0010917889974531268+0.007441988882274027j),(2771.529781957274+59.21995364103045j),(0.9993669151617764-0.0628895127913402j)
457,1000,250,44100,0.0105511133361439,-1.440271162178926,441.564573563288,9.157338090032413,0.0001568048281952,(0.0013732786573796417-0.010461362165671383j),(2774.4320407838704+57.53725214016763j),(0.9993246427300083-0.06295287974182237j)
562,1250,250,44100,0.0134448411772493,1.6446068426484688,440.82636616048944,11.23584715998475,0.0002765391531032,(-0.0009914698370015955+0.013408234106092268j),(2769.7937468769555+70.59690978933166j),(0.9996272415268083-0.06286638802305794j)
673,1500,250,44100,0.0204159876014663,-1.476744242592451,441.3723819483071,10.333446223700236,0.0006150529582497,(0.001917336537523134-0.020325756328980878j),(2773.2244652524596+64.92695748528371j),(0.9994938343394776-0.06293606067046188j)
788,1750,250,44100,0.0295519252954199,1.6497615984819478,441.28406733308753,9.988836968911212,0.0012711483599154,(-0.0023311513916694625+0.029459837437691278j),(2772.669568159703+62.761713678875196j),(0.999445553684746-0.06292039496110396j)
904,2000,250,44100,0.0421923893883257,-1.501622627409372,440.9582266464134,9.1357362805459,0.0025053144164145,(0.002916276629964012-0.042091484327754815j),(2770.6222507447105+57.40152396819348j),(0.9993270018176644-0.06286635456782498j)
1039,2250,250,44100,0.0583587967885174,1.639167855322424,441.02602869164747,8.07279540223112,0.0045979092177311,(-0.003986972150717896+0.05822244597810087j),(2771.048263559122+50.722869459165494j),(0.9991750645318047-0.0628664867818702j)
1167,2500,250,44100,0.0775171846872085,-1.4924154624303692,439.96376669029456,6.562323824748408,0.0076533352452271,(0.006069644610629014-0.07727919083512365j),(2764.373874559846+41.23229663661374j),(0.9989695606119244-0.0627017689921433j)
1304,2750,250,44100,0.0991687189198597,1.706619403040636,440.59650622394616,4.259123226873342,0.0114824695148592,(-0.013428024943876625+0.09825539658620683j),(2768.3494943009578+26.76086048055789j),(0.9986361472767603-0.06277122416313728j)
1442,3000,250,44100,0.1137360736881198,-1.4392197657577512,440.6573916613256,3.774986492127905,0.0148342791947315,(0.014921858810048545-0.11275297152466718j),(2768.7320487865213+23.71893966213946j),(0.998566721409791-0.06277555676572963j)
1596,3250,250,44100,0.1321404832820198,1.7745414834843152,438.4516067904911,2.4656664807684034,0.0190817871897656,(-0.02673709816834297+0.12940724440131682j),(2754.872693695295+15.492239404369231j),(0.9984001352247837-0.06245008208799261j)
1742,3500,250,44100,0.1447506820439177,-1.2759254199520729,438.46751518563127,1.7780888179677004,0.0223319670262808,(0.042066912138674445-0.1385031943866148j),(2754.9726490899006+11.172061535914972j),(0.9983021919905783-0.0624462272909104j)
1898,3750,250,44100,0.1535314872346487,1.8838613055446876,436.708046365012,0.5569552847373543,0.0240438796107165,(-0.047284025772283425+0.14606895111299026j),(2743.917580447745+3.4994532618177674j),(0.9981441404890596-0.0621851490716745j)
2059,4000,250,44100,0.160247525169428,-1.0743014378089832,437.7822040276227,0.6290968551006494,0.0262610237851572,(0.07633335985296384-0.1408988555542038j),(2750.6667120910547+3.9527321167612857j),(0.9981448712009222-0.06233854659233713j)
2221,4250,250,44100,0.1642640969620618,2.186477118188464,437.900637197513,0.1226957908062026,0.0271004865037328,(-0.09486488811240777+0.1341020005599543j),(2751.410849643992+0.7709203900463126j),(0.9980718057618986-0.0623508903732741j)
2384,4500,250,44100,0.1649366907401197,-0.8443645866002121,437.7749620482309,0.1333821968625703,0.0273332478293706,(0.10955200877287023-0.12329829409254152j),(2750.6212093925456+0.8380650595662371j),(0.9980744416585965-0.06233311411977632j)
2529,4750,250,44100,0.1658492089795366,2.414028152958361,438.1574744668137,0.1017034522979645,0.0276054434929673,(-0.12385558412456645+0.11029847868534029j),(2753.024605800799+0.6390216371680105j),(0.9980665383575671-0.06238722628870474j)
2700,5000,250,44100,0.1668815181856018,-0.6268489314768011,437.8950085985507,0.0069314553095605,0.0278562905174577,(0.13515399213278254-0.09789197884659966j),(2751.3754841136924+0.043551618158402534j),(0.9980553940781125-0.06234906160969258j)
