Note,Frequency,Notename
"C0",16.35,"c,,,"
"C#0/Db0",17.32,"cis,,,"
"D0",18.35,"d,,,"
"D#0/Eb0",9.45,"dis,,,"
"E0",20.60,"e,,,"
"F0",21.83,"f,,,"
"F#0/Gb0",23.12,"fis,,,"
"G0",24.50,"g,,,"
"G#0/Ab0",25.96,"gis,,,"
"A0",27.50,"a,,,"
"A#0/Bb0",29.14,"ais,,,"
"B0",30.87,"b,,,"
"C1",32.70,"c,,"
"C#1/Db1",34.65,"cis,,"
"D1",36.71,"d,,"
"D#1/Eb1",38.89,"dis,,"
"E1",41.20,"e,,"
"F1",43.65,"f,,"
"F#1/Gb1",46.25,"fis,,"
"G1",49.00,"g,,"
"G#1/Ab1",51.91,"gis,,"
"A1",55.00,"a,,"
"A#1/Bb1",58.27,"ais,,"
"B1",61.74,"b,,"
"C2",65.41,"c,"
"C#2/Db2",69.30,"cis,"
"D2",73.42,"d,"
"D#2/Eb2",77.78,"dis,"
"E2",82.41,"e,"
"F2",87.31,"f,"
"F#2/Gb2",92.50,"fis,"
"G2",98.00,"g,"
"G#2/Ab2",103.83,"gis,"
"A2",110.00,"a,"
"A#2/Bb2",116.54,"ais,"
"B2",123.47,"b,"
"C3",130.81,"c"
"C#3/Db3",138.59,"cis"
"D3",146.83,"d"
"D#3/Eb3",155.56,"dis"
"E3",164.81,"e"
"F3",174.61,"f"
"F#3/Gb3",185.00,"fis"
"G3",196.00,"g"
"G#3/Ab3",207.65,"gis"
"A3",220.00,"a"
"A#3/Bb3",233.08,"ais"
"B3",246.94,"b"
"C4",261.63,"c'"
"C#4/Db4",277.18,"cis'"
"D4",293.66,"d'"
"D#4/Eb4",311.13,"dis'"
"E4",329.63,"e'"
"F4",349.23,"f'"
"F#4/Gb4",369.99,"fis'"
"G4",392.00,"g'"
"G#4/Ab4",415.30,"gis'"
"A4",440.00,"a'"
"A#4/Bb4",466.16,"ais'"
"B4",493.88,"b'"
"C5",523.25,"c''"
"C#5/Db5",554.37,"cis''"
"D5",587.33,"d''"
"D#5/Eb5",622.25,"dis''"
"E5",659.25,"e''"
"F5",698.46,"f''"
"F#5/Gb5",739.99,"fis''"
"G5",783.99,"g''"
"G#5/Ab5",830.61,"gis''"
"A5",880.00,"a''"
"A#5/Bb5",932.33,"ais''"
"B5",987.77,"b''"
"C6",1046.50,"c'''"
"C#6/Db6",1108.73,"cis'''"
"D6",1174.66,"d'''"
"D#6/Eb6",1244.51,"dis'''"
"E6",1318.51,"e'''"
"F6",1396.91,"f'''"
"F#6/Gb6",1479.98,"fis'''"
"G6",1567.98,"g'''"
"G#6/Ab6",1661.22,"gis'''"
"A6",1760.00,"a'''"
"A#6/Bb6",1864.66,"ais'''"
"B6",1975.53,"b'''"
"C7",2093.00,"c''''"
"C#7/Db7",2217.46,"cis''''"
"D7",2349.32,"d''''"
"D#7/Eb7",2489.02,"dis''''"
"E7",2637.02,"e''''"
"F7",2793.83,"f''''"
"F#7/Gb7",2959.96,"fis''''"
"G7",3135.96,"g''''"
"G#7/Ab7",3322.44,"gis''''"
"A7",3520.00,"a''''"
"A#7/Bb7",3729.31,"ais''''"
"B7",3951.07,"b''''"
"C8",4186.01,"c'''''"
"C#8/Db8",4434.92,"cis'''''"
"D8",4698.63,"d'''''"
"D#8/Eb8",4978.03,"dis'''''"
"E8",5274.04,"e'''''"
"F8",5587.65,"f'''''"
"F#8/Gb8",5919.91,"fis'''''"
"G8",6271.93,"g'''''"
"G#8/Ab8",6644.88,"gis'''''"
"A8",7040.00,"a'''''"
"A#8/Bb8",7458.62,"ais'''''"
"B8",7902.13,"b'''''"
