,onset,duration,cluster,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
788,1750,250,-1,44100,0.0295519252954199,1.6497615984819478,441.28406733308753,9.988836968911212,0.0012711483599154,(-0.0023311513916694625+0.029459837437691278j),(2772.669568159703+62.761713678875196j),(0.999445553684746-0.06292039496110396j)
904,2000,250,-1,44100,0.0421923893883257,-1.501622627409372,440.9582266464134,9.1357362805459,0.0025053144164145,(0.002916276629964012-0.042091484327754815j),(2770.6222507447105+57.40152396819348j),(0.9993270018176644-0.06286635456782498j)
1039,2250,250,-1,44100,0.0583587967885174,1.639167855322424,441.02602869164747,8.07279540223112,0.0045979092177311,(-0.003986972150717896+0.05822244597810087j),(2771.048263559122+50.722869459165494j),(0.9991750645318047-0.0628664867818702j)
1167,2500,250,-1,44100,0.0775171846872085,-1.4924154624303692,439.96376669029456,6.562323824748408,0.0076533352452271,(0.006069644610629014-0.07727919083512365j),(2764.373874559846+41.23229663661374j),(0.9989695606119244-0.0627017689921433j)
1304,2750,250,0,44100,0.0991687189198597,1.706619403040636,440.59650622394616,4.259123226873342,0.0114824695148592,(-0.013428024943876625+0.09825539658620683j),(2768.3494943009578+26.76086048055789j),(0.9986361472767603-0.06277122416313728j)
1442,3000,250,0,44100,0.1137360736881198,-1.4392197657577512,440.6573916613256,3.774986492127905,0.0148342791947315,(0.014921858810048545-0.11275297152466718j),(2768.7320487865213+23.71893966213946j),(0.998566721409791-0.06277555676572963j)
1596,3250,250,0,44100,0.1321404832820198,1.7745414834843152,438.4516067904911,2.4656664807684034,0.0190817871897656,(-0.02673709816834297+0.12940724440131682j),(2754.872693695295+15.492239404369231j),(0.9984001352247837-0.06245008208799261j)
1734,3500,250,1,44100,0.0371010002370073,-0.4548571009981311,1316.5065507006004,3.007151212423716,0.0015343811408861,(0.033328712174623194-0.016299728935400902j),(8271.85461616769+18.89448831436797j),(0.982881209738392-0.1865523724718437j)
1742,3500,250,0,44100,0.1447506820439177,-1.2759254199520729,438.46751518563127,1.7780888179677004,0.0223319670262808,(0.042066912138674445-0.1385031943866148j),(2754.9726490899006+11.172061535914972j),(0.9983021919905783-0.0624462272909104j)
1894,3750,250,1,44100,0.0414706333390242,2.9144359566218547,1316.755741997882,2.1886533983760588,0.00186055387662,(-0.040405280453419144+0.009339525738512152j),(8273.420331265446+13.751714875185122j),(0.982759973416849-0.1865655104914636j)
1898,3750,250,0,44100,0.1535314872346487,1.8838613055446876,436.708046365012,0.5569552847373543,0.0240438796107165,(-0.047284025772283425+0.14606895111299026j),(2743.917580447745+3.4994532618177674j),(0.9981441404890596-0.0621851490716745j)
1957,4000,250,1,44100,0.0462693768256325,-0.0537566308766382,1314.1133421783982,-0.6556630539481436,0.0020918224386066,(0.04620253887090381-0.002486088034443016j),(8256.817643543971-4.119652467027472j),(0.9824319339031267-0.1861200698151657j)
2059,4000,250,0,44100,0.160247525169428,-1.0743014378089832,437.7822040276227,0.6290968551006494,0.0262610237851572,(0.07633335985296384-0.1408988555542038j),(2750.6667120910547+3.9527321167612857j),(0.9981448712009222-0.06233854659233713j)
2216,4250,250,1,44100,0.0454895041474423,-2.864153794878938,1314.9908223127295,0.6496126288229642,0.0021177266266536,(-0.043749988757055776-0.012459272504350713j),(8262.331013831345+4.081636524778755j),(0.9825913733383274-0.18627753060179367j)
2221,4250,250,0,44100,0.1642640969620618,2.186477118188464,437.900637197513,0.1226957908062026,0.0271004865037328,(-0.09486488811240777+0.1341020005599543j),(2751.410849643992+0.7709203900463126j),(0.9980718057618986-0.0623508903732741j)
2377,4500,250,1,44100,0.0465787815044554,0.5436447185399869,1315.077632014239,0.1489114633498471,0.002181085034971,(0.03986347701031053+0.02409327887789971j),(8262.87645527239+0.9356383185903712j),(0.9825189760596275-0.18627639453194914j)
2381,4500,250,2,44100,0.0314189657118592,1.3635859546541886,879.1294858144469,2.8956180765052397,0.0010958899724211,(0.006463847379446497+0.030746871116557658j),(5523.733468377677+18.193704953501335j),(0.9925752850993621-0.12497901921394976j)
2384,4500,250,0,44100,0.1649366907401197,-0.8443645866002121,437.7749620482309,0.1333821968625703,0.0273332478293706,(0.10955200877287023-0.12329829409254152j),(2750.6212093925456+0.8380650595662371j),(0.9980744416585965-0.06233311411977632j)
2521,4750,250,1,44100,0.0466743076884033,-2.321967489261443,1317.0758518473508,0.992673780214154,0.0022570471026244,(-0.03185499184246248-0.034113787431306955j),(8275.431640768313+6.237153310663991j),(0.9825840186939622-0.18657853658115628j)
2527,4750,250,2,44100,0.0338903607568257,1.3466167241868054,876.6835060960408,1.1712886406520302,0.001197635579627,(0.00753404980837427+0.03304231598591008j),(5508.364924549329+7.359423577411187j),(0.9923749471682207-0.1246024905193767j)
2529,4750,250,0,44100,0.1658492089795366,2.414028152958361,438.1574744668137,0.1017034522979645,0.0276054434929673,(-0.12385558412456645+0.11029847868534029j),(2753.024605800799+0.6390216371680105j),(0.9980665383575671-0.06238722628870474j)
2636,5000,250,1,44100,0.0486533407988612,1.0385206394872053,1317.3266864753027,-0.5976770450936657,0.0023176592280219,(0.024691351982166546+0.041922365250339794j),(8277.007681217192-3.755315628171031j),(0.9823547365086654-0.1865713725681904j)
2698,5000,250,2,44100,0.0353039839526863,1.5473571701453583,878.5501130586673,0.804297324298875,0.0012826224634832,(0.0008274198421050578+0.035294286497058194j),(5520.093161991183+5.0535491306385465j),(0.9922898888701224-0.1248598759122861j)
2700,5000,250,0,44100,0.1668815181856018,-0.6268489314768011,437.8950085985507,0.0069314553095605,0.0278562905174577,(0.13515399213278254-0.09789197884659966j),(2751.3754841136924+0.043551618158402534j),(0.9980553940781125-0.06234906160969258j)
2771,5250,250,1,44100,0.047205588337228,-1.905965353197447,1318.5910572589678,-0.9117096839507022,0.0021578250235187,(-0.015527277310455046-0.04457882041494672j),(8284.951957147943-5.728440890612396j),(0.9822771610750844-0.1867399778728275j)
2854,5250,250,2,44100,0.0363536730732681,1.7005757526704453,876.9898052370329,1.8282742841363728,0.0014111467191528,(-0.004704726108213548+0.036047955533771374j),(5510.289458811612+11.487386119579932j),(0.9924624032329307-0.1246574658395694j)
2856,5250,250,0,44100,0.1663074937161642,2.628697192797476,437.65518151738377,0.1471851277556667,0.0278031078172832,(-0.14490826830609035+0.08160745212713194j),(2749.8686061210406+0.9247914321497558j),(0.9980774680814837-0.062316203688092126j)
2928,5500,250,1,44100,0.045808671832837,1.394182169475328,1319.9441669625714,-0.8499787199398703,0.0020364132486763,(0.008048465163049013+0.04509608213146396j),(8293.453796156628-5.340573804541505j),(0.9822497810858579-0.18693098724370755j)
3024,5500,250,2,44100,0.0347300777276501,1.9152482822209085,881.7767305137478,1.324059089410955,0.0012646565295955,(-0.01172768304245236+0.03269005581861851j),(5540.366597376834+8.319308616424495j),(0.9923058650536649-0.12532531377097603j)
3027,5500,250,0,44100,0.1690869138315608,-0.4133145937011785,438.5014355212332,0.246928865969617,0.0288423131173754,(0.15484887573312903-0.06791325432688121j),(2755.185776844169+1.5514998225788148j),(0.9980841310617627-0.06243742949506328j)
3108,5750,250,1,44100,0.0455026415982738,-1.6512856127434974,1320.5628255246734,-3.3613690987587552,0.0018421325307638,(-0.003658521838936447-0.04535532615222812j),(8297.340942544188-21.1201049333285j),(0.9818819079621718-0.18695066060097718j)
3194,5750,250,2,44100,0.0416231709713431,2.006495578784948,878.1708287351756,1.5439160305704978,0.001830950859896,(-0.017566827424594388+0.037734532406592504j),(5517.710048302576+9.70071051879958j),(0.9924012062616865-0.12481940601901746j)
3196,5750,250,0,44100,0.1706828286717154,2.8172499683817875,438.5934186912612,0.0602881116050344,0.0291950262928179,(-0.16178349563456035+0.05439419586353275j),(2755.763724146597+0.37880137703435546j),(0.9980567722293122-0.06244884911303771j)
3265,6000,250,1,44100,0.0405156660562411,1.5782563286717906,1319.4287197049794,-1.30374365251201,0.0015678876827188,(-0.0003022441414085443+0.04051453868008172j),(8290.215145521099-8.191662961792108j),(0.9822000046015633-0.18684677136775563j)
3271,6000,250,2,44100,0.0447703080117452,2.141733771000918,878.3403950775132,-0.0179007204714025,0.0020031081280297,(-0.024194816716557526+0.03766950123798736j),(5518.775465053344-0.11247354385384503j),(0.992177385397202-0.12481560430647373j)
3273,6000,250,0,44100,0.1712270118678017,-0.2376546341805689,439.2508398477546,-0.0207786111995762,0.0292970878962473,(0.16641430041387983-0.04031091925192549j),(2759.8944230977054-0.13055586459277455j),(0.9980393910048084-0.06254161110325711j)
3486,6250,250,2,44100,0.0444408047139854,2.166902276173334,877.4507530803755,-1.1904637147122203,0.0018938788759112,(-0.024950147759923887+0.03677601460713973j),(5513.185679528278-7.479904121010254j),(0.9920274542641379-0.12466901314965684j)
3492,6250,250,0,44100,0.1708567860566155,2.9709760032860704,439.1265234464384,-0.204003073838372,0.028981787124936,(-0.16837598878079862+0.029009787032732222j),(2759.1133201115135-1.281789116160731j),(0.9980144450212215-0.06252230156418079j)
3559,6250,250,1,44100,0.0392770711165403,-1.4248711620878916,1318.822916895654,0.9653023580211092,0.0015967480841069,(0.0057111934317275945-0.038859626671896415j),(8286.408774210498+6.065173592904041j),(0.9825337144748322-0.18682238173209004j)
3634,6500,250,1,44100,0.0409326562863204,1.871389349315276,1318.0171642079597,-0.0996412155446854,0.0016695736146571,(-0.0121196147420766+0.039097279817881j),(8281.346080761956-0.6260642214998817j),(0.9824060847119863-0.18668125826854104j)
3636,6500,250,0,44100,0.1696263385230203,-0.1034420236300233,438.9923156518389,-0.0961453219669157,0.0286751758528195,(0.16871962515546374-0.017515216473857724j),(2758.270067668377-0.6040988743365755j),(0.998030977100471-0.06250417865087976j)
3723,6500,250,2,44100,0.0482091806621684,2.464537481131143,878.9122848872023,2.0473654363809946,0.0025014315193378,(-0.037575249321072514+0.030203074985452j),(5522.3687547029085+12.863976428296386j),(0.9924592007877258-0.12493320325025745j)
