id,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
54,0,250,44100,0.0051596681163957,-1.4625207768146171,520.1044702952114,23.93466074222838,7.004851051799935e-05,(0.0005575749472721997-0.0051294527241729304j),(3267.9127659572937+150.3859087078974j),(1.0006622363950226-0.0742874279597328j)
110,250,250,44100,0.013002368754421,-1.1469715711701822,523.112334368627,12.143844403154224,0.0002682916882167,(0.005347221603023547-0.011851954031049237j),(3286.811733309372+76.30202472657366j),(0.9989507543950084-0.07459084197510991j)
164,500,250,44100,0.0196430356040131,-0.9276772328626156,525.0551748157247,13.383721634277997,0.0006440947133686,(0.011779817357357171-0.015718929695365293j),(3299.018959860771+84.09240312787706j),(0.9991065479456066-0.07488058321206534j)
234,750,250,44100,0.03141224802111,-0.7625406319264784,523.1161971774568,11.11440760417157,0.0015021925670945,(0.02271367439294393-0.021698348354449837j),(3286.836004053056+69.83388255653587j),(0.9988042080957639-0.07458045224564729j)
322,1000,250,44100,0.0458433408843852,-0.534250430982705,524.4385647077279,9.757611963584578,0.003031089708208,(0.0394550964824136-0.023343248809995967j),(3295.144684289947+61.30888412275438j),(0.9985970809228709-0.07475417890103608j)
405,1250,250,44100,0.0638125516073259,-0.3437120958308216,524.2330373672021,7.372243326851354,0.0053502952673815,(0.06008017058210791-0.021503833273685158j),(3293.853317923731+46.32117095222518j),(0.998259945769025-0.07469954575518041j)
505,1500,250,44100,0.0834251563176696,-0.150126172586319,524.5767511644813,4.905322540740102,0.0083248988023378,(0.08248680810166042-0.012477307234634801j),(3296.0129354046708+30.82105051495505j),(0.9979054843403945-0.07472216365944369j)
616,1750,250,44100,0.1078598774265053,-0.04423197752705,522.9105936362436,1.9649329628203736,0.0124838500184543,(0.1077543824374967-0.004769300155627322j),(3285.5441589038005+12.346037921585825j),(0.9975052173880437-0.07445407362875854j)
726,2000,250,44100,0.1165950139269636,0.2194130806599746,523.8061661834492,2.743215781110844,0.0150077704637615,(0.11379969095806373+0.025377699077695024j),(3291.1712071739166+17.23613309029883j),(0.9976063240690818-0.07458962268533745j)
836,2250,250,44100,0.1286513912610345,0.4065811279186338,524.3101772889922,2.69527866202016,0.0182399099965968,(0.11816350528455555+0.05087795684052773j),(3294.3380023469203+16.93493528795972j),(0.997594151786093-0.07466075009298388j)
952,2500,250,44100,0.043320881574786,1.364316957617364,515.4400990306643,7.590248479815302,0.0024866639216226,(0.008881444800026513+0.042400692431618564j),(3238.6056569606612+47.6909377262177j),(0.9983837543711751-0.07345116733561002j)
1060,2750,250,44100,0.1531402141119576,0.764128411492607,524.6461409414646,0.7865723944461303,0.0241187183497154,(0.11056504325100369+0.10595893727836232j),(3296.448924231881+4.942180111816992j),(0.997319324430994-0.07468818774832586j)
1172,3000,250,44100,0.1587222767349577,0.9235217360361376,523.8060372650348,1.3041865828818473,0.026395255658663,(0.09571183540182945+0.126617556823458j),(3291.1703971556294+8.194445975383974j),(0.9974018102544154-0.07457431305241113j)
1289,3250,250,44100,0.1631379742393904,1.114167406017754,524.1580657424935,0.9510223319513484,0.0275325106142285,(0.07193159924867687+0.14642350790928263j),(3293.3822573129064+5.975449542916379j),(0.9973478834890764-0.07462058339738122j)
1407,3500,250,44100,0.1684609787134386,1.294180531169019,524.0629347428594,0.7251849591229154,0.0291219218554742,(0.04600697364400386+0.1620569644452517j),(3292.7845316137486+4.556471480148731j),(0.9973168042411342-0.07460466492007359j)
1530,3750,250,44100,0.1747392921293511,1.484727434681171,523.632364773293,0.3793170624348764,0.0309484274805636,(0.015021055610102668+0.17409246997565667j),(3290.079180707256+2.3833193934533377j),(0.9972722344316834-0.07453981030680751j)
1669,4000,250,44100,0.1722449628052192,1.700818540976642,522.6705548830139,1.6414230922635464,0.031465182417331,(-0.022332622062649743+0.17079104544319126j),(3284.0359509363548+10.313365456175598j),(0.9974617867001744-0.07441652906748761j)
1793,4250,250,44100,0.102329426651007,2.075987483071433,524.6836788723123,4.847484208467366,0.0124980759770839,(-0.049524856284249+0.08954663683661332j),(3296.6847820074445+30.45764155542722j),(0.9978961225983406-0.07473675048281048j)
1874,4500,250,44100,0.1880425118151479,2.266129710075294,524.0582297657429,-0.0881097550263451,0.0352496875623464,(-0.12046782934919485+0.1443865933583977j),(3292.7549693706596-0.5536099182007247j),(0.9972012969945443-0.07459535214615355j)
2063,4750,250,44100,0.1949224240140849,2.3799800515573923,522.4377830262531,0.4563969210019976,0.0386166462197377,(-0.14107005835271735+0.13451390270112462j),(3282.57340222603+2.8676264282817536j),(0.9972958588546705-0.07437089117065322j)
2195,5000,250,44100,0.1976951959163229,2.614987307864626,522.3913318889417,0.5890344370023227,0.0399116323039166,(-0.17091109626379994+0.0993619024692031j),(3282.281541122574+3.7010125199957935j),(0.9973151977609906-0.07436569622302693j)
2319,5250,250,44100,0.2028138800218019,2.854531130506139,522.868469924875,0.9011612937445652,0.042477048358623,(-0.1945147363089822+0.057423751951130586j),(3285.279487819446+5.662163400254799j),(0.9973544919362355-0.07443680435865294j)
2448,5500,250,44100,0.2090071704495792,3.0787419598163805,522.7181499651314,1.1598109199696662,0.0455318588419574,(-0.2085944952456927+0.013127598886854407j),(3284.3349996570087+7.287306931459846j),(0.997392840490661-0.0744181863936115j)
2577,5750,250,44100,0.2174479626648028,-2.9740605075089395,522.915026557775,1.0958325351279523,0.049170510099294,(-0.21440353518066452-0.0362593514711312j),(3285.5720117712353+6.885318883845308j),(0.9973816611066234-0.07444548479278594j)
2703,6000,250,44100,0.2257825910401298,-2.755865033251496,523.0053186192381,1.276341247147234,0.0533574900052471,(-0.20919319775406092-0.0849469506823223j),(3286.1393335251746+8.01948857102277j),(0.9974063544246278-0.07446023049555307j)
2845,6250,250,44100,0.2355732521236471,-2.5340447890836724,523.0867814615694,0.7507284189446541,0.0569994105205226,(-0.1934174895194481-0.13447836950270325j),(3286.651179659192+4.716965771595212j),(0.99733080008946-0.07446623010403544j)
2979,6500,250,44100,0.2411846935411158,-2.316262525040023,523.0644569158399,0.7447637559675206,0.0597344921932095,(-0.1635990587580682-0.1772157001283919j),(3286.510910401475+4.679488688815009j),(0.9973301893878362-0.07446299460461057j)
3110,6750,250,44100,0.2434616674258354,-2.095672842741368,522.9945025869149,0.7088317643079413,0.0607894853065081,(-0.122000138141213-0.21068827636888826j),(3286.0713743898+4.45372132676184j),(0.9973258257321896-0.07445267325033561j)
3249,7000,250,44100,0.2492527973772572,-1.875363309457189,523.2337639962185,0.4360757317503913,0.0630980982065774,(-0.07474595749198726-0.2377814097842682j),(3287.574698161311+2.7399446305516455j),(0.99728453076107-0.07448377644020225j)
3384,7250,250,44100,0.2530934022593155,-1.663484333799714,523.2827259530293,0.0046815785061195,0.0640669102951517,(-0.023425148224738138-0.2520070092236419j),(3287.8823352089553+0.029415225284057985j),(0.9972227167110526-0.07448615509032411j)
3461,7500,250,44100,0.2556368258779231,-1.4257397990831104,523.7425284296019,-0.2930113258313263,0.0646755633639909,(0.03695188495479319-0.2529520605633156j),(3290.771359373961-1.8410444573006j),(0.9971755397752446-0.07454832177713308j)
3566,7750,250,44100,0.2549101650642702,-1.2417246582996455,523.0374407327665,-0.1095163408220324,0.0647273854642798,(0.0823779537591765-0.24123238793235138j),(3286.341162716932-0.6881114635490664j),(0.9972090940171274-0.0744500935350251j)
3717,8000,250,44100,0.2545670568589092,-1.0188069582955177,522.9755276034435,-0.4783576679946149,0.0637169887981986,(0.13349042796491153-0.2167595259257408j),(3285.9521510524487-3.005609871120455j),(0.9971573477349729-0.07443738516423955j)
3939,8250,250,44100,0.2505225589402046,-0.8084802164826278,522.8138769928024,0.1340859877591415,0.0630610539165611,(0.17301047735486846-0.18118754720837973j),(3284.9364703107717+0.8424871081869001j),(0.9972460761963513-0.07442091287423598j)
4086,8500,250,44100,0.2513006365280181,-0.5822459344122349,523.0634305321953,0.2548675757935749,0.0637264827361752,(0.20989375914750863-0.13819051990029826j),(3286.5044614428393+1.6013802075026697j),(0.9972605906756901-0.07445765155543571j)
4239,8750,250,44100,0.2534721453458318,-0.3646483247982935,523.0136629470762,0.2934339474825302,0.0649216271885482,(0.23680615753162007-0.09039343018896903j),(3286.191762483246+1.84369986744994j),(0.9972665983483352-0.07445098938893176j)
4387,9000,250,44100,0.2567214491965111,-0.1472385328174352,522.7995564990571,0.2076760505141398,0.0663938705553499,(0.25394371692313555-0.037662861187371374j),(3284.8464919948797+1.3048671092435287j),(0.9972566840264229-0.0744196584400423j)
4527,9250,250,44100,0.2581295583193708,0.09147323898119,523.4116330704691,0.5037251243111278,0.0678359314886369,(0.2570503804976768+0.023579032298909477j),(3288.6922825152437+3.164998299928889j),(0.9972922551298677-0.07450976780144263j)
4670,9500,250,44100,0.2627371415753878,0.2974816330757674,523.3634357290208,0.5870104538781833,0.0704885857245061,(0.25119711865901084+0.07701177274038183j),(3288.389449687611+3.6882954589682213j),(0.9973046008562771-0.07450380350408044j)
4815,9750,250,44100,0.2677412960011918,0.5066738938178335,523.5635773207299,0.2952321540555409,0.0724415009758362,(0.23410319161536197+0.12992727681244975j),(3289.646976395993+1.8549983325687547j),(0.9972610175872489-0.07452914361589665j)
4960,10000,250,44100,0.2708012978013635,0.7060188363508119,523.891279472778,0.1979784619483944,0.0738508306299782,(0.20606649566125834+0.17569844124747197j),(3291.705989742873+1.2439353632521646j),(0.9972437185539902-0.07457467196116134j)
