Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,clusterSimilarity,clusters
184,0,250,44100,0.0776194570874944,2.025957606700372,589.4789377915794,6.212430424796343,0.007046653804381557,(-0.03412207060792881+0.06971703103248816j),(3703.8054008238805+39.03385156695582j),(0.9973575970578844-0.08396209916967357j),1,0.0,0.00015364349474724864,1,1
387,500,250,44100,0.1154974370472516,-2.1880904200843747,587.310920036951,-1.6625967267443529,0.011710337211036639,(-0.066853468905949-0.09418211963916068j),(3690.183343522295-10.446403325244992j),(0.9962650465961695-0.08356021391300515j),3,0.011337868480725623,3.895715712406128e-5,1,1
514,750,250,44100,0.1096821134195795,2.0286491356898626,587.1765008517748,-2.79113111107387,0.010157108146374664,(-0.04848202659232611+0.09838525855882327j),(3689.3387628729934-17.537193987511174j),(0.9961064709714151-0.0835277025314361j),4,0.017006802721088437,-6.00033206242372e-6,1,1
645,1000,250,44100,0.0705845046146293,0.4314250218268928,602.4674712631578,-12.89093178967646,0.003039108568028124,(0.06411690129890964+0.029516016999563226j),(3785.414763494313-80.99611321674938j),(0.994490055068525-0.08557438601276592j),5,0.022675736961451247,-2.182984239147607e-6,1,1
909,1250,250,44100,0.0449961303126497,2.973434251095928,592.7713382568259,8.431058396805616,0.00257955448149677,(-0.04436144465124426+0.007530867915954375j),(3724.492163052469+52.973902242782124j),(0.9976334047536605-0.08445663057517808j),6,0.02834467120181406,-3.0492567719753006e-10,1,1
1063,1500,250,44100,0.0036880862922072,2.19233375658066,298.64424622514287,7.245461205589512,1.6551288862708165e-5,(-0.002147520108699989+0.0029983558630515966j),(1876.4371399555403+45.52457539069972j),(1.000126804036533-0.04258069056590403j),7,0.034013605442176874,3.7539346045739846e-6,1,-1
1221,1750,250,44100,0.0396009586198907,-1.431773639325201,590.8361442138122,13.062728037266297,0.0024044566594743867,(0.005487714628210405-0.03921888463194265j),(3712.3329802748635+82.07554087543441j),(0.9983152250804687-0.0842371312905528j),8,0.03968253968253968,-7.232915827281635e-10,1,1
1371,2000,250,44100,0.004359713997348,0.318011015733262,297.7170258720224,8.784336137800718,2.4553218974222354e-5,(0.004141114484605955+0.0013631863277113053j),(1870.611242656296+55.19361175435614j),(1.0003517260955255-0.042457874904218755j),9,0.045351473922902494,0.0001773197470205741,1,-1
1519,2250,250,44100,0.0936246464264795,0.429361378440347,585.9765037339027,3.713775205468609,0.009333663750989934,(0.08512650457606125+0.038975025813270975j),(3681.7989586133217+23.33433780516821j),(0.997044361967675-0.08343468715989348j),10,0.05102040816326531,0.002468361182595166,1,1
1680,2500,250,44100,0.1062656386958863,-1.5908941841003457,586.7755265857429,1.1266783793316828,0.010940778180338529,(-0.002135567868401328-0.10624417780435831j),(3686.819367256104+7.079129038933737j),(0.9966674190125844-0.08351740151923336j),11,0.05668934240362812,8.225518569077334e-5,1,1
1765,2750,250,44100,0.1101226417138421,2.696744332279998,589.2137227668436,-3.089900532819429,0.010134672535886994,(-0.09940505981814586+0.04738808184117695j),(3702.1390056772175-19.41441762845741j),(0.9960397849278677-0.08381325604089655j),12,0.06235827664399093,-0.0010667311634671908,1,1
1915,3000,250,44100,0.0982398927927521,0.5496441206270863,590.1479142167917,-1.98994779379936,0.008376578386853212,(0.08377018630277927+0.051318928503322016j),(3708.0087036696245-12.503210740054572j),(0.9961847271435593-0.08395898466711899j),13,0.06802721088435375,0.00013335268784165215,1,1
2103,3250,250,44100,0.089831892641891,-1.6662122069348704,593.827500160197,-3.097235002408228,0.006742310329959437,(-0.008558389094119115-0.08942327947317695j),(3731.1282240057335-19.460501460013706j),(0.9959834341413547-0.08446789825236237j),14,0.07369614512471655,-2.0080870169982418e-12,1,1
2351,3500,250,44100,0.0029713888965545,0.045007428293855,296.86707986078034,5.3231771777125525,9.984364625230062e-6,(0.002968379879949708+0.00013368942694678434j),(1865.270874366564+33.44650863051721j),(0.9998636743165338-0.04231586277898481j),15,0.07936507936507936,8.396844112605033e-5,1,-1
2508,3750,250,44100,0.0738110325453522,-0.2362764662499152,593.8892068816263,4.515676937772379,0.005976880373376996,(0.07176029138954176-0.017277994822869423j),(3731.515938771172+28.37283498738112j),(0.9970635763300099-0.08456833248854354j),16,0.08503401360544217,-9.918299151440525e-5,1,1
2671,4000,250,44100,0.0837252344879222,-2.4642113292250363,596.8602752873563,9.054421246387736,0.009151787747553998,(-0.06524009721993342-0.05247518084572165j),(3750.1837121246804+56.890606540318096j),(0.9976726366748453-0.08504536519737052j),17,0.09070294784580499,3.746995180703038e-5,1,1
2837,4250,250,44100,0.101510677217926,1.4226445369570513,590.8350011885077,4.897604075744644,0.011467517931146885,(0.014984033853767086+0.10039868683758332j),(3712.3257984350653+30.772553969101605j),(0.9971545409706731-0.08413903004151325j),18,0.0963718820861678,-0.0005175819637696312,1,1
