onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
250,250,44100,0.013265335453973383,0.7950485710219882,436.95537167449373,17.868692421809527,0.0003902469638993653,(0.009289052373782407+0.009470091377783567j),(2745.471571198374+112.27230568322483j),(1.0006069089623004-0.0623739776494976j),79,0.005668934240362812,1
500,250,44100,0.0245949967180567,-2.2370160108865558,438.4010621693757,17.692360757856424,0.0013314314638664527,(-0.015200162078943676-0.019335690738503823j),(2754.5551124745457+111.16438116308417j),(1.0005689025812008-0.06257850514638454j),117,0.011337868480725623,1
750,250,44100,0.0071141595000936576,-2.989171020312736,873.874627666913,25.47286006058676,0.00015718324284831503,(-0.007031680031447602-0.0010801580107159725j),(5490.71622087378+160.05070006452044j),(0.9958668475293057-0.12463612703407093j),169,0.017006802721088437,2
750,250,44100,0.044161705096669626,1.003746962187868,438.33792156645853,13.920699897757626,0.003663399726512738,(0.023721263834137637+0.037249937438289075j),(2754.15838836601+87.46633706324708j),(1.0000319333090708-0.06253589003403666j),171,0.017006802721088437,1
1000,250,44100,0.01747490545351494,-2.7322206721670437,881.534266883562,14.676084281431347,0.0005918489672304205,(-0.016030971071461734-0.006955593944103059j),(5538.843153458125+92.21255712401872j),(0.9941997031278433-0.12552960743099573j),222,0.022675736961451247,2
1000,250,44100,0.010368071765107614,-1.621770883265735,409.4389204413327,26.104466186597257,0.00034365451425674845,(-0.0005282790098050348-0.010354604454744813j),(2572.5806091044533+164.0191983953942j),(1.0020188298759332-0.058519325281137693j),226,0.022675736961451247,1
1000,250,44100,0.06324853785640921,-2.107701729083068,443.66118662377414,15.246851526836021,0.007939910619212554,(-0.03235031601867938-0.05434919129541124j),(2787.605449160358+95.79879349416473j),(1.0001731756328016-0.06330629319896205j),228,0.022675736961451247,1
1250,250,44100,0.029157540372613564,-2.6871929297793193,877.9989071520636,2.646743772677603,0.0010294020239729727,(-0.026198769198151384-0.012797915966382342j),(5516.629833137579+16.629981584356983j),(0.9925602084637798-0.12481470757262286j),310,0.02834467120181406,2
1250,250,44100,0.10762495380975443,1.177630068281066,438.49959151763966,6.4752477285357815,0.016184390281674,(0.04123273479075826+0.09941323988396499j),(2755.174190627884+40.685181388284015j),(0.9989702255243212-0.06249259767285479j),316,0.02834467120181406,1
1500,250,44100,0.030176368896219274,-2.5546889702096602,882.1468987566807,0.704218677974357,0.0010277575660994104,(-0.025126636104140707-0.016711235676957068j),(5542.692433042014+4.424736450489912j),(0.9922116256577515-0.12536657594664696j),410,0.034013605442176874,2
1500,250,44100,0.13653269387247768,-1.8840092468022025,437.77797158639765,3.5112665804871845,0.023300485082580022,(-0.042068020584705254-0.12989017722738128j),(2750.640118878536+22.061938588107786j),(0.9985548707883377-0.06236354837572848j),414,0.034013605442176874,1
1750,250,44100,0.031129084817834825,-2.542864633580652,873.7399623199459,-1.972385235087078,0.000995318305370998,(-0.025714278912041977-0.017544109599226403j),(5489.870093544329-12.392861929197084j),(0.9919827099549641-0.1241306831836047j),459,0.03968253968253968,2
1750,250,44100,0.154482019640385,1.37182038548134,437.78431827330456,3.664601494486682,0.029999286267407544,(0.030535778182687465+0.15143401415451552j),(2750.679996288459+23.025370266827075j),(0.9985766295850503-0.06236581377992648j),514,0.03968253968253968,1
2000,250,44100,0.03003943404845395,-2.238828255059457,871.3326241127409,2.2127581517218773,0.0010754411430519137,(-0.0186076921564342-0.02358222615790951j),(5474.744341491407+13.903169507240756j),(0.992616929960031-0.12386427415286891j),619,0.045351473922902494,2
2000,250,44100,0.17533735809288592,-1.6731845409616204,437.407952034809,1.5650358703470744,0.035788856337354055,(-0.017921128399999042-0.1744190995844883j),(2748.315217468625+9.833410385773753j),(0.9982813044425211-0.062293629770729955j),623,0.045351473922902494,1
2250,250,44100,0.03248359085793584,-1.8661945439981698,873.0307871735664,5.021164370833523,0.0013952892952351964,(-0.009456650326113395-0.03107660598642317j),(5485.414214684381+31.54890619975482j),(0.9929841756497131-0.1241540993023314j),735,0.05102040816326531,2
2250,250,44100,0.18461507990169065,1.590430910955306,437.77339526135023,2.024196344675232,0.040342141104957825,(-0.0036246074219020534+0.18457949492872908j),(2750.6113649802373+12.718400731710041j),(0.9983433684274298-0.062349685774499945j),739,0.05102040816326531,1
2500,250,44100,0.03419301385152949,-1.4084719831173773,881.3204980758136,9.105968635337355,0.0018089298246166203,(0.005526016046576003-0.03374352297706735j),(5537.500004426147+57.21448833718981j),(0.9934148320270321-0.12539976950294146j),849,0.05668934240362812,2
2500,250,44100,0.19663302541535596,-1.429221428870388,437.9435523134289,1.1106581249583387,0.044279171809358864,(0.027745397716592835-0.19466571241372763j),(2751.680493269771+6.978470812037863j),(0.998211923707866-0.06236577098713825j),853,0.05668934240362812,1
2750,250,44100,0.10045696371539065,1.6757313944836705,446.11827294976894,-2.7732303266484952,0.010083223615684884,(-0.01052212295561028+0.09990438672762239j),(2803.0437778623204-17.42472004182267j),(0.997586431713273-0.06349320183931376j),907,0.06235827664399093,1
2750,250,44100,0.0506312826317677,-1.3704975459284676,879.6689563301071,3.8506763402276336,0.0032448010043069123,(0.010073708701040155-0.049619020284005305j),(5527.12306159533+24.19451300362233j),(0.9927007464150716-0.12507232747106753j),981,0.06235827664399093,2
2750,250,44100,0.10692049862323313,1.9586074668805158,433.021523148623,6.2458701099657965,0.015834020998071224,(-0.04043337754865515+0.09898047790270922j),(2720.754471939953+39.24395930548924j),(0.9989860480821683-0.061710873169757964j),983,0.06235827664399093,1
3000,250,44100,0.058875026246449906,-1.290353347768485,878.2579964792319,3.274647496201479,0.004294977733719341,(0.016295509177358523-0.056574951137148936j),(5518.257739391291+20.57521703432555j),(0.9926443994896096-0.12486251667042211j),1119,0.06802721088435375,2
3000,250,44100,0.20767399423504726,-1.1935416021584002,437.41714784742703,0.39573355299603835,0.048143414588709764,(0.07650079340204474-0.19307023719464406j),(2748.3729964633544+2.4864672457426824j),(0.998114925672042-0.06228456039305367j),1121,0.06802721088435375,1
3250,250,44100,0.21188769595465548,2.0845091268634404,437.3930345414037,-1.1148742648856749,0.04751268640409976,(-0.10412462271956513+0.184538501783451j),(2748.221488093241-7.004961600482314j),(0.9979003432897946-0.06226772828196917j),1196,0.07369614512471655,1
3250,250,44100,0.06534800337614578,-1.1480557670956737,876.6380444548371,2.0357047901562355,0.005056742594104001,(0.026809756386411254-0.059595289308384446j),(5508.079280633277+12.790710427264763j),(0.9924979811892496-0.12461140872003508j),1257,0.07369614512471655,2
3500,250,44100,0.0709094651949061,-0.9567018932167817,877.3212924220055,-0.060164170674793044,0.005522591267477755,(0.04085935582543548-0.05795399292333575j),(5512.37225422175-0.37802263320250457j),(0.992189523346868-0.12467079058094706j),1320,0.07936507936507936,2
3500,250,44100,0.20389304156473828,-0.9193168907764517,437.9615067415097,-0.0847410482247695,0.04562059614700483,(0.12363329791261476-0.16213321697225014j),(2751.793304268487-0.5324437091208685j),(0.9980417676876623-0.062357703096215626j),1327,0.07936507936507936,1
3750,250,44100,0.2044007089252063,2.331570683616392,437.63381042983514,-1.1506527621397342,0.04415898673816701,(-0.14093071592356343+0.14804790818650146j),(2749.7343276177567-7.229764528741985j),(0.9978931197786399-0.062301643380318905j),1453,0.08503401360544217,1
3750,250,44100,0.07124387341261003,-0.7817795274078018,877.3980095085487,0.7809178680418143,0.005744390453558607,(0.05055899189828077-0.050194400455245834j),(5512.854281892728+4.906651674594334j),(0.9923070654801266-0.1246965775150422j),1535,0.08503401360544217,2
4000,250,44100,0.19628534125656943,-0.6877296259611458,437.9838593105485,-0.8249784513504065,0.041189706944848255,(0.15166756399779777-0.1245988973594142j),(2751.9337496018493-5.183492484264643j),(0.9979363152315547-0.062354304957606695j),1603,0.09070294784580499,1
4000,250,44100,0.07245765304074508,-0.6209287822938498,876.2075758720181,1.1148661547450986,0.006013409594974071,(0.058932595253220525-0.04215519779212388j),(5505.374566758506+7.004910642966207j),(0.992375416421738-0.12453419759541683j),1671,0.09070294784580499,2
4250,250,44100,0.1903902815220256,2.5649389788146455,438.0399784516977,-1.0139599576303535,0.03849663298478507,(-0.1596026174182273+0.1038049315364503j),(2752.2863565649695-6.370898307851473j),(0.9979089472765296-0.06236060497718048j),1754,0.0963718820861678,1
4250,250,44100,0.07618747522234631,-0.4261729216842982,878.1706858543372,0.5523692312288514,0.006515785554013122,(0.06937284737124079-0.031495069905656085j),(5517.709150555792+3.4706382377952023j),(0.992261020717352-0.12480175364272383j),1807,0.0963718820861678,2
