onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
1750,250,44100,0.02955192529541991,1.6497615984819478,441.28406733308753,9.988836968911212,0.0015389043396809646,(-0.0023311513916694625+0.029459837437691278j),(2772.669568159703+62.761713678875196j),(0.999445553684746-0.06292039496110396j),789,0.03968253968253968,1
2000,250,44100,0.04219238938832575,-1.501622627409372,440.9582266464134,9.135736280545899,0.003033036386045388,(0.002916276629964012-0.042091484327754815j),(2770.6222507447105+57.40152396819348j),(0.9993270018176644-0.06286635456782498j),905,0.045351473922902494,1
2250,250,44100,0.05835879678851744,1.639167855322424,441.02602869164747,8.07279540223112,0.005566417478677291,(-0.003986972150717896+0.05822244597810087j),(2771.048263559122+50.722869459165494j),(0.9991750645318047-0.0628664867818702j),1040,0.05102040816326531,1
2500,250,44100,0.07751718468720853,-1.4924154624303692,439.96376669029456,6.5623238247484075,0.009265441543500378,(0.006069644610629014-0.07727919083512365j),(2764.373874559846+41.23229663661374j),(0.9989695606119244-0.0627017689921433j),1168,0.05668934240362812,1
2750,250,44100,0.09916871891985979,1.7066194030406359,440.59650622394616,4.259123226873342,0.013901148539298877,(-0.013428024943876625+0.09825539658620683j),(2768.3494943009578+26.76086048055789j),(0.9986361472767603-0.06277122416313728j),1305,0.06235827664399093,1
3000,250,44100,0.11373607368811986,-1.4392197657577512,440.6573916613256,3.774986492127905,0.017958986809635005,(0.014921858810048545-0.11275297152466718j),(2768.7320487865213+23.71893966213946j),(0.998566721409791-0.06277555676572963j),1443,0.06802721088435375,1
3250,250,44100,0.1321404832820198,1.7745414834843152,438.4516067904911,2.4656664807684034,0.023101194196680063,(-0.02673709816834297+0.12940724440131682j),(2754.872693695295+15.492239404369231j),(0.9984001352247837-0.06245008208799261j),1597,0.07369614512471655,1
3500,250,44100,0.03710100023700738,-0.4548571009981311,1316.5065507006004,3.007151212423716,0.0018575847406130245,(0.033328712174623194-0.016299728935400902j),(8271.85461616769+18.89448831436797j),(0.982881209738392-0.1865523724718437j),1735,0.07936507936507936,2
3500,250,44100,0.14475068204391772,-1.2759254199520729,438.46751518563127,1.7780888179677004,0.027035995210378704,(0.042066912138674445-0.1385031943866148j),(2754.9726490899006+11.172061535914972j),(0.9983021919905783-0.0624462272909104j),1743,0.07936507936507936,1
3750,250,44100,0.041470633339024204,2.9144359566218547,1316.755741997882,2.1886533983760588,0.002252462832215152,(-0.040405280453419144+0.009339525738512152j),(8273.420331265446+13.751714875185122j),(0.982759973416849-0.1865655104914636j),1895,0.08503401360544217,2
3750,250,44100,0.1535314872346487,1.8838613055446873,436.708046365012,0.5569552847373543,0.029108506797867674,(-0.047284025772283425+0.14606895111299026j),(2743.917580447745+3.4994532618177674j),(0.9981441404890596-0.0621851490716745j),1899,0.08503401360544217,1
4000,250,44100,0.0462693768256325,-0.05375663087663826,1314.1133421783982,-0.6556630539481436,0.002532446038657364,(0.04620253887090381-0.002486088034443016j),(8256.817643543971-4.119652467027472j),(0.9824319339031267-0.1861200698151657j),1958,0.09070294784580499,2
4000,250,44100,0.160247525169428,-1.0743014378089832,437.7822040276227,0.6290968551006494,0.031792672469899946,(0.07633335985296384-0.1408988555542038j),(2750.6667120910547+3.9527321167612857j),(0.9981448712009222-0.06233854659233713j),2060,0.09070294784580499,1
4250,250,44100,0.045489504147442364,-2.864153794878938,1314.9908223127295,0.6496126288229642,0.002563806711147275,(-0.043749988757055776-0.012459272504350713j),(8262.331013831345+4.081636524778755j),(0.9825913733383274-0.18627753060179367j),2217,0.0963718820861678,2
4250,250,44100,0.1642640969620618,2.186477118188464,437.900637197513,0.12269579080620265,0.0328089604669219,(-0.09486488811240777+0.1341020005599543j),(2751.410849643992+0.7709203900463126j),(0.9980718057618986-0.0623508903732741j),2222,0.0963718820861678,1
