onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
1000,250,44100,0.005993928330206925,1.4624369415107543,205.6538775325084,32.46603799340985,0.000837584065492214,(0.0006482280933271418+0.0059587731259613036j),(1292.1614216767668+203.99013290252697j),(1.0042051160746648-0.029432348757640506j),652,0.022675736961451247,1
1250,250,44100,0.008862097358751566,2.364489841093311,262.162101805557,33.556844342602595,0.0019300074620640063,(-0.006318215331371431+0.00621425173471549j),(1647.2130661639944+210.84387132875307j),(1.0040916485625122-0.037522051837357656j),806,0.02834467120181406,1
1250,250,44100,0.018659519067952126,0.3974276242758775,213.05928053999432,32.85337885320275,0.008270116759572144,(0.017205190102491226+0.007222124713988741j),(1338.6909410471458+206.42386730164802j),(1.0042289218929499-0.030493542893880506j),808,0.02834467120181406,1
1500,250,44100,0.02062017236665624,0.2295575756490773,281.4968815117602,-5.297165886656657,0.0021092330723410445,(0.02007924673610202+0.004692052742814154j),(1768.6970699315646-33.28307486873403j),(0.99844201490964-0.04006550870143515j),848,0.034013605442176874,1
1500,250,44100,0.01233438133098087,0.9002684043572444,401.76655838424307,11.219045737568033,0.001384101264222936,(0.007664580828252063+0.009663910365128618j),(2524.3737365559855+70.49134333886323j),(0.9999592232287658-0.05730230091171704j),961,0.034013605442176874,1
1500,250,44100,0.05544153927342128,-1.3545555874949429,202.2059244390412,11.880415286849654,0.0287197661362003,(0.01189550544072536-0.05415035759176468j),(1270.4972934600494+74.6468507735255j),(1.0012784388783635-0.02885427688887109j),965,0.034013605442176874,-1
1500,250,44100,0.051731275813169095,-0.40852507566328683,236.16022093568387,3.7678597015277404,0.018257555158523585,(0.04747419240259615-0.020550570624181114j),(1483.8384303233738+23.67416071615316j),(0.9999706579530961-0.03365884567816388j),969,0.034013605442176874,-1
1750,250,44100,0.025356046090655945,-2.062793303413507,256.0972303656422,-29.295511741863336,0.0016125571888494894,(-0.011977865192659178-0.022348597691532066j),(1609.106355042789-184.06912894278275j),(0.9951719665721372-0.03632763177917697j),1040,0.03968253968253968,1
1750,250,44100,0.027355599859588728,-0.9077454595893739,403.62091257146784,1.5317130194983786,0.004704228186709902,(0.016838032522198267-0.02155944119079445j),(2536.024987539463+9.624036738927892j),(0.9985648672112648-0.05748708974133275j),1141,0.03968253968253968,1
1750,250,44100,0.13118691098879803,-2.620315387620556,201.6198223399222,0.6758253265051849,0.10490991902207598,(-0.11376316711370948-0.06532952948736907j),(1266.8147053623577+4.246335761717225j),(0.9996836917688412-0.028724772257398938j),1143,0.03968253968253968,-1
2000,250,44100,0.02984820724413742,-2.7026251571361004,403.9279949645734,0.9838951727590017,0.0054911777356130625,(-0.02701832751551756-0.012685639674577084j),(2537.9544431199174+6.18199569328428j),(0.998484415524128-0.057526288574766j),1305,0.045351473922902494,1
2000,250,44100,0.13064855776688142,2.7639429165900897,201.3762883545376,1.0087563545320444,0.10529938361484917,(-0.12144225436096154+0.04817493645344713j),(1265.2845362035903+6.338203105319782j),(0.9997321086525905-0.028691446437908608j),1307,0.045351473922902494,-1
2250,250,44100,0.031159060164601418,1.7609947564571191,403.70118761139025,1.702081233196121,0.0061410139015279095,(-0.005890737171397448+0.030597160749304294j),(2536.5293704908368+10.694491796043978j),(0.9985884484514705-0.057499906277556696j),1485,0.05102040816326531,1
2250,250,44100,0.13487727788241255,1.8713338731356877,201.24231064459505,1.0174099266929075,0.11226105300717157,(-0.0399282198298074+0.12883174046092877j),(1264.4427294249897+6.392575102775536j),(0.9997338887459406-0.0286723983081646j),1487,0.05102040816326531,-1
2500,250,44100,0.03298646062922647,-0.0533369005324394,404.2852928377964,1.8130991793008895,0.0069101762947456164,(0.032939551398277284-0.0017585614927426024j),(2540.1994118672387+11.392038123842715j),(0.998599454899143-0.05758392032003162j),1645,0.05668934240362812,1
2500,250,44100,0.14037372456041464,0.9818500205400794,201.26811621006019,0.8664022454324277,0.12094013252904424,(0.07797552045742369+0.1167244651148895j),(1264.6048705747637+5.443765858608431j),(0.9997122743304091-0.028675457042002105j),1649,0.05668934240362812,-1
2750,250,44100,0.03539398354710348,-1.8797432287238784,404.54943422102497,0.24216976038151186,0.00751928309331744,(-0.010761737729645851-0.03371823056405761j),(2541.8590611253585+1.5215974802723164j),(0.9983738065413543-0.05760860596812406j),1825,0.06235827664399093,1
2750,250,44100,0.14467090807509878,0.08061470407415314,201.54243520308253,0.48688466349585874,0.12672629177645967,(0.14420107397923987+0.011649974528189819j),(1266.328467641202+3.0591865639682565j),(0.9996570978072313-0.02871297699564027j),1827,0.06235827664399093,-1
3000,250,44100,0.035279353249899156,2.54255726653333,404.523261765258,-0.9880151301374588,0.007153017249053518,(-0.029136508461917513+0.019892125084559946j),(2541.694614735831-6.207882148950808j),(0.9981990500288633-0.05759478747066717j),1916,0.06802721088435375,1
3000,250,44100,0.1449794073202141,-0.7478353529945517,203.40813054838182,0.95993447129254,0.1294399072170828,(0.1062934880301861-0.09859372672385014j),(1278.0509772224598+6.031446165880491j),(0.9997168069255656-0.028980654550282356j),2011,0.06802721088435375,-1
3250,250,44100,0.03833791127272961,0.7007673897618107,406.98031213340124,-0.8518589714680087,0.008487498811319048,(0.029303490319756605+0.024720455008668818j),(2557.1327175079487-5.352387773316907j),(0.9981981904615256-0.057945347901772755j),2094,0.07369614512471655,1
3250,250,44100,0.15716255312757416,-1.7230817171020394,203.19449461817496,0.42943438263656303,0.14924936020383772,(-0.02384116138735723-0.15534370643601741j),(1276.7086630846984+2.698215803379789j),(0.9996421293132247-0.028948037119025757j),2185,0.07369614512471655,-1
3500,250,44100,0.03430661505437358,-1.2196341430363349,407.52313376090376,1.7496845562909296,0.007457197430125798,(0.011801108475581155-0.03221300475330637j),(2560.543366382292+10.993592296286202j),(0.998563762248773-0.058044057813009205j),2361,0.07936507936507936,1
3500,250,44100,0.15988538347121206,-2.6792108027968027,203.0924203804959,0.3935388804872483,0.15426808541970452,(-0.14309622524233176-0.07132184917073017j),(1276.0673117342717+2.4726777116813814j),(0.9996374378008461-0.028933351233445957j),2363,0.07936507936507936,-1
3750,250,44100,0.03615581851755352,3.117657025193349,408.5817305711631,-0.0390313914737524,0.007768481967950118,(-0.03614546191917113+0.0008653296042639494j),(2567.1947263067404-0.24524146542665562j),(0.9983005482694566-0.05817983606738839j),2434,0.08503401360544217,1
3750,250,44100,0.16061022856217794,2.6750164807636043,202.77173926952824,0.36761968280717516,0.15552628887010614,(-0.14344318967421132+0.0722474695396543j),(1274.0524128895497+2.309822589644063j),(0.9996350671834203-0.028887571774321903j),2549,0.08503401360544217,-1
4000,250,44100,0.1485325006203213,1.7030377722508954,202.6279067410776,-0.4563564753166235,0.12918494583110204,(-0.019584952944621536+0.14723563888774588j),(1273.1486864600943-2.8673723005456724j),(0.9995183119079147-0.028863697881839907j),2628,0.09070294784580499,-1
4000,250,44100,0.018441271815717492,1.624836752543552,212.88147186022368,14.363120185743018,0.003517554721953302,(-0.000996089190597193+0.018414350721802596j),(1337.573736162922+90.24614571631506j),(1.0015876175419287-0.030387942300979034j),2729,0.09070294784580499,1
4000,250,44100,0.03657595052317662,1.1483312792055547,408.47078590709106,0.33356470974992986,0.008056042807297834,(0.01499650619096636+0.033360230196120826j),(2566.497640423533+2.0958488832943827j),(0.9983544649771389-0.058167143763183396j),2733,0.09070294784580499,1
4250,250,44100,0.05803955233154065,0.15104021911133347,201.14124654716912,-6.114497603086776,0.016264826127456628,(0.057378777519369484+0.008733013525029285j),(1263.8077249729597-38.41852150049963j),(0.9987189627876887-0.028628897629963665j),2822,0.0963718820861678,-1
4250,250,44100,0.03959152328810871,-0.8832326874382275,413.0207460408773,1.8863617368947685,0.009981039355236813,(0.025127008155100175-0.03059611376378352j),(2595.0858830843918+11.852360349282973j),(0.9985374358841373-0.05882733752331249j),2921,0.0963718820861678,1
4250,250,44100,0.1285890657939814,0.9156943388638548,209.12751375337297,1.9548848726292285,0.10555026874191822,(0.07834161806514262+0.10196930283523663j),(1313.98692174219+12.282903908931605j),(0.9998345823468408-0.029799512069472085j),2929,0.0963718820861678,-1
4500,250,44100,0.09533203233025542,-0.17089982158607153,201.83308451045508,-1.6013192331991921,0.05112369442335364,(0.09394324805746218-0.01621303588569986j),(1268.154671098827-10.061385478141245j),(0.9993585359035593-0.028745819590958132j),3014,0.10204081632653061,2
4500,250,44100,0.04047415725870696,-3.0473420121222254,412.58032074186883,0.34600950556878407,0.00986912543733568,(-0.040294520615272764-0.0038090699898925065j),(2592.3186093167515+2.1740418415342573j),(0.9983220065414413-0.058751783953334816j),3095,0.10204081632653061,1
4500,250,44100,0.08906752142612807,-0.5795221588684013,209.83272652831508,5.07894087459377,0.05683795721824019,(0.07452497045440515-0.04877552820589259j),(1318.4179042881415+31.91192667928141j),(1.000276709820877-0.029913282608974284j),3099,0.10204081632653061,2
4750,250,44100,0.04091105604057158,1.0184375132241106,413.43429499894114,-0.6574651838082469,0.009731333155584136,(0.021465896890136123+0.0348271413850869j),(2597.6842878214975-4.130975582886103j),(0.9981721309937801-0.05886483350903906j),3186,0.10770975056689343,1
4750,250,44100,0.1738109242403623,-1.4381574868746472,206.60865433620503,-0.5722732119439832,0.17617653001690303,(0.022986540154469014-0.17228423130691892j),(1298.1604612613894-3.5956986369789044j),(0.9994852738317385-0.029430094389127616j),3190,0.10770975056689343,-1
