onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
1750,250,48000,0.1106439917751924,-1.8949056799396904,314.59490096857115,7.215184290516539,0.027293129720244825,(-0.03523619869718132-0.10488328378403108j),(1976.6580594793434+45.33433992276648j),(1.0000963185999527-0.04120763893516746j),157,0.036458333333333336,4
2000,250,48000,0.12056634403851481,0.3428453094809037,347.88846011984424,21.817341533627758,0.05618374727847656,(0.11354962113368172+0.04053056692437025j),(2185.847661162337+137.08239976580887j),(1.0018203023315704-0.04565294879636677j),185,0.041666666666666664,-1
2250,250,48000,0.21543669396518422,1.4047906429921155,324.70662050023265,-1.0329344591827279,0.07836757579799167,(0.03559967981225515+0.21247501477565156j),(2040.1918670709995-6.490118617216408j),(0.9989617615364268-0.04248545562443852j),192,0.046875,-1
2500,250,48000,0.3237151579176156,-3.0875466408713295,367.79843522976415,-47.260838674604955,0.05681688556274287,(-0.32324249161445123-0.017486997469784882j),(2310.945724239297-296.9486071652626j),(0.9926810811780369-0.04782929583591106j),227,0.052083333333333336,-1
2500,250,48000,0.15369977266948892,-0.1811755398269828,449.3288519990729,-13.273711485947329,0.027609603844094364,(0.15118410034881338-0.027694546762359183j),(2823.216440972446-83.40118898024517j),(0.9965377641216628-0.058681054312125086j),229,0.052083333333333336,-1
2500,250,48000,0.037332957326945006,-0.6519949406384528,651.8146999209745,40.843017585327736,0.012210887738057001,(0.02967503088149504-0.022652643222322032j),(4095.4725455471375+256.6242479930087j),(1.0017034113994987-0.08567568827723848j),244,0.052083333333333336,1
2750,250,48000,0.13140469735299687,-3.0982617155626198,494.5653491460419,-33.27689695922635,0.01232785017995395,(-0.1312813558820225-0.005692107185433313j),(3107.4457351945525-209.08491004274003j),(0.9935678408170461-0.06441205502031758j),251,0.057291666666666664,2
2750,250,48000,0.11186736184077915,-2.9244037121817485,682.2724816529953,-10.337049191596792,0.015898972720348112,(-0.10923926738907556-0.024105789875336275j),(4286.844432215054-64.94959560023358j),(0.9946677657774601-0.08906997878723513j),253,0.057291666666666664,1
2750,250,48000,0.08257496224669911,-2.176594729527845,316.26491823849324,27.418655509498365,0.033161984834537646,(-0.04701971798008067-0.06788056062760134j),(1987.1510874524538+172.27649343989873j),(1.0027356459762675-0.041535965815870775j),273,0.057291666666666664,4
3000,250,48000,0.020189986592804226,-0.23008675713100837,396.61037556207174,74.38486496746044,0.018693125369520436,(0.01965791205584019-0.004604568625014437j),(2491.9764844065867+467.373890640085j),(1.0084239893158438-0.052400604803333015j),297,0.0625,4
3000,250,48000,0.07576025805418667,-0.03731112629757694,626.8195076713384,25.927705428495432,0.026233040011739806,(0.07570753048080259-0.002826044751114712j),(3938.423120854096+162.9085777972029j),(1.0000240044574005-0.08223708187290675j),301,0.0625,1
3000,250,48000,0.21339766104509073,0.11903069600823689,315.9268517664573,18.666404566551567,0.15535539815210886,(0.21188770336017257+0.02534093337402822j),(1985.0269531625074+117.28447891042673j),(1.0015893376855305-0.04144408359071051j),305,0.0625,-1
