onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,dynamicResonance
250,250,44100,0.046313990893716406,2.466350966638157,893.0125615013983,15.510033991265596,0.004947759563444472,(-0.03615065878928199+0.028950226624400627j),(5610.963405552392+97.45241768777595j),(0.9941111961385067-0.12717044222304222j),220,0.005668934240362812,1
250,250,44100,0.016087134556684587,1.6309054910579963,312.99053476504787,38.802925466950015,0.0017512492539742176,(-0.0009664020151265934+0.016058080999609967j),(1966.5775293220302+243.80597116952492j),(1.0045441494850336-0.044825952130390964j),222,0.005668934240362812,-1
250,250,44100,0.028237113166270433,1.4567029793623267,572.3068275457318,19.057267737467726,0.002139245992863743,(0.003214681748029741+0.02805352707278797j),(3595.9098500339037+119.74034464304476j),(0.9993873198225699-0.08167103188787107j),224,0.005668934240362812,-1
250,250,44100,0.1417649708483493,-0.06064496650861134,456.9796317836604,13.613011673669677,0.04284595669230741,(0.14150435828385854-0.00859206298316769j),(2871.2877081034326+85.5330749344655j),(0.9998184801694173-0.06518888697491876j),226,0.005668934240362812,2
500,250,44100,0.10001933855818158,2.067451338800009,875.4437104231638,1.4218309137802032,0.013317016473099639,(-0.04765795045990479+0.08793513429555566j),(5500.575058593603+8.933627106757498j),(0.9924323670454656-0.12443163618199861j),328,0.011337868480725623,1
500,250,44100,0.1979651877513449,2.59584585604933,427.65862746799615,4.977822573366697,0.05946920089998503,(-0.16920874458539825+0.10275512793655942j),(2687.0584045955015+31.276581654724506j),(0.9988524335651584-0.06093653664913787j),330,0.011337868480725623,2
750,250,44100,0.11416930540998974,2.429092184915166,878.3261803424441,-6.819923408121288,0.013074712971334598,(-0.08639529475550613+0.07463567070716742j),(5518.686151238812-42.85084255399781j),(0.9912165607804531-0.12469269363400956j),377,0.017006802721088437,1
750,250,44100,0.22900460806989412,-0.15311060235085966,443.5128776680984,-6.875527468242978,0.052509131944876115,(0.2263255867811237-0.03492619769493746j),(2786.673596509133-43.200213167573935j),(0.9970270210416106-0.06308600429946533j),379,0.017006802721088437,2
750,250,44100,0.03715286467379775,0.17525111796106072,148.0117925481817,19.818840775240787,0.0038280199657944793,(0.03658378630142751+0.006477803124595047j),(929.9855202280481+124.5254491643246j),(1.0026047221282168-0.021146170412159774j),429,0.017006802721088437,-1
1000,250,44100,0.08724701855049456,2.569029434878275,882.9494018349769,-4.81748931175441,0.00815742253641501,(-0.07333242919563412+0.04726940949723879j),(5547.734708592531-30.269178061110008j),(0.9914170204507222-0.12538134436156756j),482,0.022675736961451247,1
1000,250,44100,0.164520352858992,2.6116605634076495,447.56230222441684,10.90094341767485,0.051688936980514265,(-0.14195497145811434+0.08316088373251682j),(2812.1168813839254+68.49264751633063j),(0.9995187539229126-0.06382266403503592j),522,0.022675736961451247,2
1250,250,44100,0.07966124300909502,2.4758991391590626,878.1289887739886,-5.443949852684658,0.006660133051329288,(-0.06265266399021457+0.04919915987782069j),(5517.447160073193-34.205345727410716j),(0.9914144044509189-0.12468928738561805j),567,0.02834467120181406,1
1250,250,44100,0.24544216721195183,-0.78520420599628,437.2850747866493,5.81702495656983,0.09435663542923887,(0.1735874796080309-0.17352015551235306j),(2747.5431569484017+36.54944573861653j),(0.9988873433440061-0.06231389149315635j),615,0.02834467120181406,2
1500,250,44100,0.06599206245531648,2.6170024434695813,877.4475237347689,-4.898648862517949,0.004654328116622709,(-0.05711806104737584+0.03305267628036553j),(5513.165388951411-30.77911855800477j),(0.991503535274047-0.12460270836345817j),666,0.034013605442176874,1
1500,250,44100,0.2885653248193301,2.5270274345997508,437.5813608114999,0.6619705052993171,0.10786350374563188,(-0.23576485951692375+0.16638773303657545j),(2749.4047769464655+4.159283352682916j),(0.9981513296609885-0.06231027618455221j),707,0.034013605442176874,2
1750,250,44100,0.056217794058516554,2.556686015393572,872.5517396305537,-0.9275477798340276,0.0038697464088311593,(-0.04687235241495059+0.03103905520299314j),(5482.404270200683-5.827954581960208j),(0.9921513949449918-0.12398120060839955j),756,0.03968253968253968,1
