Column1,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z,id,onset_s,similarity,f0
1,0,250,44100,3.451134819867082e-5,-2.420138569037593,849.5615604836438,21.517957911352685,1.381164271855402e-9,(-2.591271236094239e-05-2.2793957370078657e-05j),(5337.952714375392+135.20131698911993j),(0.9957313834977164-0.12111741216577208j),1,0.0,-5.845012683344718e-12,-1
6,250,250,44100,7.426794954507591e-5,-1.165349798471388,833.5461989271214,-8.73366120184179,2.0188103005669364e-9,(2.9293442453270845e-05-6.82467769119308e-05j),(5237.325229954282-54.87521174129673j),(0.9917214881707737-0.11833390191411304j),2,0.005668934240362812,-2.378741929626717e-9,-1
8,500,250,44100,7.141040186329542e-5,0.4399185117612761,827.0932527532177,-0.2640239417836493,2.4804681247411736e-9,(6.461115823020336e-05+3.041124342129024e-05j),(5196.780173366389-1.658911351758664j),(0.9930274461082685-0.1175638551204926j),3,0.011337868480725623,-2.9551909483039047e-14,-1
14,750,250,44100,5.840107054352247e-5,-1.737690877147,567.4145573789078,-3.911115997206671,1.4623727660178511e-9,(-9.701635732936343e-06-5.758961108337945e-05j),(3565.1708100029623-24.574266568323992j),(0.9961787291539859-0.08070985796673923j),4,0.017006802721088437,-4.60507328879114e-12,-1
19,1000,250,44100,5.1485177045331526e-5,-3.053225027653257,577.3217252852618,14.033298577104627,2.2314509240225584e-9,(-5.128428813631622e-05-4.543703967076622e-06j),(3627.419381827926+88.17381543092799j),(0.9986136527633476-0.08232612540587954j),5,0.022675736961451247,-3.0245643873080883e-10,-1
20,1250,250,44100,8.867867262916578e-5,1.933833180542658,607.1034274787606,-2.401462940736524,3.550095875110972e-9,(-3.149110787679519e-05+8.28988365657975e-05j),(3814.543335472916-15.08883666497201j),(0.9959206030162844-0.08636020834656749j),6,0.02834467120181406,9.440575602902597e-17,-1
37,1500,250,44100,7.144838933422034e-6,3.084690405600073,477.0746064322675,82.9915703597179,1.5438409661922938e-9,(-7.133275039213646e-06+4.063380359686489e-07j),(2997.548157563707+521.4514155039403j),(1.0095578311046343-0.06872715039197848j),7,0.034013605442176874,-2.5819317805052774e-13,-1
65,1750,250,44100,1.0781448231286896e-5,-2.777117277303905,330.5489252221547,59.80232207809803,9.274579652997926e-10,(-1.0073224564388247e-05-3.843146216230203e-06j),(2076.900150259846+375.7490714163269j),(1.007438525427847-0.04748066928203472j),8,0.03968253968253968,-1.2556216763900952e-9,-1
99,2000,250,44100,0.0002295451641482,-0.2866694568980054,799.7959292639733,17.79843759421041,5.196893736954891e-8,(0.0002201776406928324-6.490600066868195e-05j),(5025.266031493441+111.83088158269562j),(0.9960371361847447-0.11399386592030138j),9,0.045351473922902494,7.06192316880895e-11,-1
143,2250,250,44100,0.0004467675844412,-2.964751028425028,443.66020509875926,43.611148005841805,6.692627927033041e-7,(-0.00043979989873030724-7.859595144970436e-05j),(2787.599282056806+274.01692437953955j),(1.0042232900081824-0.06356250553611005j),10,0.05102040816326531,1.325955857701407e-7,1
183,2500,250,44100,0.0018359209289429,0.1260283280351911,422.045565975866,18.712073979640856,3.457580347727614e-6,(0.001821360122784993+0.00023076602969141543j),(2651.790499099854+117.57142829573687j),(1.0008574087601207-0.060255501872816954j),11,0.05668934240362812,4.84996652246788e-7,1
229,2750,250,44100,0.0035276547392689,-2.278357613900344,413.4412839168713,13.101113801103397,1.008196738824262e-5,(-0.002292913520744831-0.0026808385900446074j),(2597.72820048795+82.31672574278056j),(1.0001306735533466-0.05898133325603296j),12,0.06235827664399093,5.967949166167779e-6,1
269,3000,250,44100,0.006178061237753,1.831552129943016,414.23011876564016,11.67518555129941,2.9181331292104048e-5,(-0.0015927713981175532+0.005969214347865711j),(2602.684596019525+73.35735431451985j),(0.9999208734180908-0.05908173320608264j),13,0.06802721088435375,-1.2019717544846208e-5,1
303,3250,250,44100,0.0093415041636518,-0.3680016667392806,413.21586919090873,10.29418225010149,6.312463206546937e-5,(0.008716072820546936-0.0033606211667559114j),(2596.3118779937595+64.68025466326658j),(0.9997326742637743-0.058925642617997744j),14,0.07369614512471655,-6.210815345171111e-7,1
379,3750,250,44100,0.0190414580974826,1.673640132264653,410.7342965013245,10.929935855279366,0.0002690223098348582,(-0.0019548457376125632+0.018940847515893398j),(2580.7196969318657+68.67481237430665j),(0.9998440070823131-0.05857747494311277j),15,0.08503401360544217,0.00016597311799286223,1
411,4000,250,44100,0.0283746839404883,-0.3882683002800721,410.4121393154801,11.69976983274654,0.0006161602768315126,(0.02626264399006798-0.010742263233302109j),(2578.695523635166+73.51182191049602j),(0.9999563666684296-0.05853800267755727j),16,0.09070294784580499,-0.0001251808620215068,1
447,4250,250,44100,0.0386274608267711,-2.4183743036403564,412.34839078665874,10.92321648808843,0.0011067851894459337,(-0.028958223579050132-0.025563685514211034j),(2590.8613504298805+68.63259334509902j),(0.999829552428002-0.05880735068648715j),17,0.0963718820861678,-9.810323875275734e-5,1
494,4500,250,44100,0.0637846716231258,1.783703038529149,408.7828736489569,8.36333837175016,0.0027275019379465523,(-0.013477820336687978+0.06234446802276814j),(2568.4585455377755+52.54840477635185j),(0.9994946945384168-0.058278170457508376j),18,0.10204081632653061,-0.0003095883307439535,1
528,4750,250,44100,0.082625180674743,-0.1951637062319605,410.5993559742297,7.624278103377525,0.004447246053822472,(0.08105661892494963-0.016023264648299007j),(2579.8718405946806+47.90475215699271j),(0.9993743404857396-0.05853067910163696j),19,0.10770975056689343,0.00115377025843862,1
568,5000,250,44100,0.111039293766221,-2.218882916251939,408.5110066374503,4.564744127964426,0.007149364951463128,(-0.06703020922632649-0.08852500105154487j),(2566.75035472557+28.681133235860376j),(0.9989561617991238-0.05820794437124549j),20,0.11337868480725624,-0.0018007422801252036,1
693,5750,250,44100,0.1566774186456087,-1.8530231810118192,406.9872649123366,1.828389850350774,0.012869521107038187,(-0.043633892111243744-0.15047889211672075j),(2557.1764031063994+11.488112243520266j),(0.9985793885191167-0.057968468956550126j),21,0.13038548752834467,-4.544442910534093e-16,1
