,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
1,0,250,44100,3.451134819867082e-05,-2.420138569037593,849.5615604836438,21.517957911352685,2.813022198881967e-09,(-2.591271236094239e-05-2.2793957370078657e-05j),(5337.952714375392+135.20131698911993j),(0.9957313834977164-0.12111741216577208j)
6,250,250,44100,7.426794954507591e-05,-1.165349798471388,833.5461989271214,-8.73366120184179,4.1117181399410794e-09,(2.9293442453270845e-05-6.82467769119308e-05j),(5237.325229954282-54.87521174129673j),(0.9917214881707737-0.11833390191411304j)
8,500,250,44100,7.141040186329542e-05,0.4399185117612761,827.0932527532177,-0.2640239417836493,5.051978277097044e-09,(6.461115823020336e-05+3.041124342129024e-05j),(5196.780173366389-1.658911351758664j),(0.9930274461082685-0.1175638551204926j)
14,750,250,44100,5.840107054352247e-05,-1.737690877147,567.4145573789078,-3.911115997206671,2.9784198286004563e-09,(-9.701635732936343e-06-5.758961108337945e-05j),(3565.1708100029623-24.574266568323992j),(0.9961787291539859-0.08070985796673923j)
19,1000,250,44100,5.1485177045331526e-05,-3.053225027653257,577.3217252852618,14.033298577104627,4.544804056188549e-09,(-5.128428813631622e-05-4.543703967076622e-06j),(3627.419381827926+88.17381543092799j),(0.9986136527633476-0.08232612540587954j)
20,1250,250,44100,8.867867262916578e-05,1.933833180542658,607.1034274787606,-2.401462940736524,7.230492931467883e-09,(-3.149110787679519e-05+8.28988365657975e-05j),(3814.543335472916-15.08883666497201j),(0.9959206030162844-0.08636020834656749j)
37,1500,250,44100,7.144838933422034e-06,3.084690405600073,477.0746064322675,82.9915703597179,3.1443464024799027e-09,(-7.133275039213646e-06+4.063380359686489e-07j),(2997.548157563707+521.4514155039403j),(1.0095578311046343-0.06872715039197848j)
65,1750,250,44100,1.0781448231286896e-05,-2.777117277303905,330.5489252221547,59.80232207809803,1.888956946021666e-09,(-1.0073224564388247e-05-3.843146216230203e-06j),(2076.900150259846+375.7490714163269j),(1.007438525427847-0.04748066928203472j)
99,2000,250,44100,0.0002295451641482,-0.2866694568980054,799.7959292639733,17.79843759421041,1.058453201055238e-07,(0.0002201776406928324-6.490600066868195e-05j),(5025.266031493441+111.83088158269562j),(0.9960371361847447-0.11399386592030138j)
143,2250,250,44100,0.0004467675844412,-2.964751028425028,443.66020509875926,43.611148005841805,1.363089917053136e-06,(-0.00043979989873030724-7.859595144970436e-05j),(2787.599282056806+274.01692437953955j),(1.0042232900081824-0.06356250553611005j)
183,2500,250,44100,0.0018359209289429,0.1260283280351911,422.045565975866,18.712073979640856,7.042066226857973e-06,(0.001821360122784993+0.00023076602969141543j),(2651.790499099854+117.57142829573687j),(1.0008574087601207-0.060255501872816954j)
229,2750,250,44100,0.0035276547392689,-2.278357613900344,413.4412839168713,13.101113801103397,2.0533978940413627e-05,(-0.002292913520744831-0.0026808385900446074j),(2597.72820048795+82.31672574278056j),(1.0001306735533466-0.05898133325603296j)
269,3000,250,44100,0.006178061237753,1.831552129943016,414.23011876564016,11.67518555129941,5.943372152781236e-05,(-0.0015927713981175532+0.005969214347865711j),(2602.684596019525+73.35735431451985j),(0.9999208734180908-0.05908173320608264j)
303,3250,250,44100,0.0093415041636518,-0.3680016667392806,413.21586919090873,10.29418225010149,0.0001285661632833,(0.008716072820546936-0.0033606211667559114j),(2596.3118779937595+64.68025466326658j),(0.9997326742637743-0.058925642617997744j)
379,3750,250,44100,0.0190414580974826,1.673640132264653,410.7342965013245,10.929935855279366,0.0005479186980006,(-0.0019548457376125632+0.018940847515893398j),(2580.7196969318657+68.67481237430665j),(0.9998440070823131-0.05857747494311277j)
411,4000,250,44100,0.0283746839404883,-0.3882683002800721,410.4121393154801,11.69976983274654,0.0012549358335688,(0.02626264399006798-0.010742263233302109j),(2578.695523635166+73.51182191049602j),(0.9999563666684296-0.05853800267755727j)
447,4250,250,44100,0.0386274608267711,-2.4183743036403564,412.34839078665874,10.92321648808843,0.0022541933430719,(-0.028958223579050132-0.025563685514211034j),(2590.8613504298805+68.63259334509902j),(0.999829552428002-0.05880735068648715j)
494,4500,250,44100,0.0637846716231258,1.783703038529149,408.7828736489569,8.36333837175016,0.0055551129255829,(-0.013477820336687978+0.06234446802276814j),(2568.4585455377755+52.54840477635185j),(0.9994946945384168-0.058278170457508376j)
528,4750,250,44100,0.082625180674743,-0.1951637062319605,410.5993559742297,7.624278103377525,0.0090577219004421,(0.08105661892494963-0.016023264648299007j),(2579.8718405946806+47.90475215699271j),(0.9993743404857396-0.05853067910163696j)
568,5000,250,44100,0.111039293766221,-2.218882916251939,408.5110066374503,4.564744127964426,0.0145611370972967,(-0.06703020922632649-0.08852500105154487j),(2566.75035472557+28.681133235860376j),(0.9989561617991238-0.05820794437124549j)
693,5750,250,44100,0.1566774186456087,-1.8530231810118192,406.9872649123366,1.828389850350774,0.0262113995422469,(-0.043633892111243744-0.15047889211672075j),(2557.1764031063994+11.488112243520266j),(0.9985793885191167-0.057968468956550126j)
732,6000,250,44100,0.0002352334786598,0.2566481080079625,203.9504227653497,34.24526666716889,2.362816890014012e-07,(0.00022752870104599129+5.9711637749666185e-05j),(1281.4582997123102+215.16935636360242j),(1.0044668269518-0.02919602629912715j)
825,6500,250,44100,0.1694761375288683,-1.371203797947227,407.00637068280776,0.2826795578649501,0.0290121400886751,(0.03360202793337559-0.16611160378031553j),(2557.296448202706+1.776128044617076j),(0.9983593414242455-0.057958421820182154j)
917,7000,250,44100,0.1707999696011947,1.046069172701374,407.27908288481433,0.0614354348461919,0.0292363044278323,(0.08556683688690925+0.14782065498751562j),(2559.0099495034424+0.3860102215657818j),(0.9983256190393274-0.05799538477736181j)
965,7250,250,44100,0.1701802488795241,-0.9009343735600456,407.1810718122549,0.5889453387826329,0.029574961274729,(0.10566113462629358-0.13340555362570572j),(2558.394127772396+3.700452699370943j),(0.998401463265976-0.057985801841362476j)
1061,7750,250,44100,0.1754226774777564,1.4957424654380105,408.4869425311093,0.3770104091614631,0.0311884085257509,(0.013153791795314063+0.17492882419678718j),(2566.599155486178+2.3688262634970694j),(0.998360510873633-0.05816980197180611j)
1084,8000,250,44100,0.1790697224049794,-0.4975980053896652,408.50645436722704,-0.1443788898162862,0.0319022823412364,(0.15735422488086892-0.08547288104619694j),(2566.721751968189-0.90715931916059j),(0.998286188329031-0.058168256167495436j)
1153,8250,250,44100,0.1774685257521936,-2.4848181356810786,408.2187833451211,0.3565729862663872,0.0318968771411818,(-0.14054898807597468-0.10835617002956745j),(2564.914261628792+2.2404141482461126j),(0.9983598255249808-0.05813148908830367j)
1189,8500,250,44100,0.1796591460171228,1.821348133285638,408.508702109734,-0.1785746694112217,0.0320737874625003,(-0.04454443242006245+0.17404942484241753j),(2566.735874950883-1.1220177390790402j),(0.9982813059893921-0.058168292466828225j)
1255,8750,250,44100,0.0229799190075605,-1.1329063020991728,413.4804789121071,13.612870392118296,0.0008898556969502,(0.009744163904083074-0.02081172619953493j),(2597.9744699061303+85.53218723629769j),(1.0002032692872778-0.058991219392946645j)
1301,9000,250,44100,0.1791412160622626,-2.1741065324035462,409.7327015167611,0.4197059841703231,0.0325741974350557,(-0.10163960353413667-0.14751598654278045j),(2574.426490041112+2.637090473074322j),(0.9983562436272639-0.05834735557127576j)
1369,9500,250,44100,0.1806228481460458,0.0503451098685285,410.20408538679015,-0.0422483250120247,0.0325757636987287,(0.18039399043859225+0.009089636188022637j),(2577.38828224732-0.265454054968502j),(0.9982866159912199-0.058410561310538865j)
1421,9750,250,44100,0.1788375140180177,-2.003369903654341,410.2988627440089,-0.605789155192067,0.0313052666391358,(-0.07497024400486693-0.16236477122207088j),(2577.98378594565-3.8062855191515297j),(0.9982056770414423-0.058419350919533326j)
1474,10000,250,44100,0.1806915508989669,2.2212859899682296,411.7216288703035,-0.8427209527215053,0.0316925291702811,(-0.10942249302382889+0.14379205328085437j),(2586.9232891659376-5.294971908192145j),(0.9981601188357105-0.05861971695182407j)
1535,10250,250,44100,0.1760500756820176,0.12369007976868,412.0607703659944,-0.505273528581238,0.0304446513123924,(0.17470507597039003+0.021720165234739137j),(2589.0541780287176-3.1747272108884195j),(0.9982052758669497-0.058670768168527j)
1650,10750,250,44100,0.1690528020819789,2.1731412124204885,412.5830356584031,-0.7040536462933125,0.0278767885204531,(-0.09578130044130968+0.13930108534229133j),(2592.3356676404296-4.423699525856354j),(0.9981726373855686-0.05874338093908578j)
1721,11000,250,44100,0.1646363332937349,0.0641406953349231,412.4257318468818,-0.1312705206340218,0.0269792849952325,(0.16429779007413872+0.010552649769608326j),(2591.3472986431157-0.824797006513501j),(0.998255415762503-0.058725802169799585j)
1957,11750,250,44100,0.1569721591470825,-0.0092786654419529,412.77481906038975,-0.7597945795270624,0.0239878837632347,(0.15696540204387932-0.0014564712494001403j),(2593.540678293953-4.77393013855913j),(0.9981631046985657-0.05877018875073897j)
2039,12000,250,44100,0.1535402295744104,-2.160192586426135,411.51646851339456,-0.231863357733414,0.0233817457100104,(-0.08534675671998791-0.12763437317251913j),(2585.6342286257914-1.456840442583911j),(0.998248708146648-0.058595639810244474j)
2124,12250,250,44100,0.1524332648780741,2.0324814915604743,412.1128617824892,-0.3474250056515824,0.0229518515359552,(-0.06790253681982833+0.13647397456958954j),(2589.3814780514676-2.1829356908568074j),(0.9982272898821963-0.05867949627987914j)
2240,12500,250,44100,0.1500231867758481,-0.0730765781934283,412.206743405733,-0.1953412795483464,0.0223517023994885,(0.14962278912471944-0.01095342617269883j),(2589.9713536872473-1.2273654575438304j),(0.9982481349689412-0.058694120213490596j)
2406,12750,250,44100,0.1482109620351155,-2.1866640255844167,412.32773741593417,0.6478129954853626,0.022479166398972,(-0.08561658452283691-0.12098053447566841j),(2590.7315814744+4.070329095033626j),(0.9983670487685337-0.05871838209456396j)
