onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
0,250,44100,9.561179685768204e-05,3.126434176334636,21026.230627146946,-27.784069745322928,3.996281794606787e-09,(-9.560081225580029e-05+1.4492737442875112e-06j),(132111.7033418591-174.57245879746588j),(-0.9854721436345543-0.14477152221220219j)
0,250,44100,9.561179685768204e-05,-3.126434176334636,-21026.230627146946,-27.784069745322928,3.996281794606787e-09,(-9.560081225580029e-05-1.4492737442875112e-06j),(-132111.7033418591-174.57245879746588j),(-0.9854721436345543+0.14477152221220219j)
0,250,44100,0.0008290059332577022,-3.1415926535897003,-22050.0,-112.81418574664107,8.686836677840684e-08,(-0.0008290059332577022-7.696281976993216e-17j),(-138544.23602330987-708.8324343247239j),(-0.9840551883013794+0j)
0,250,44100,0.0009410954620085704,-2.9222431619520313,21896.98366185258,-141.31858713268326,8.975389544035337e-08,(-0.0009185460647181068-0.000204777429430111j),(137582.8060157036-887.9308703034536j),(-0.97983395984351-0.02136487635708907j)
0,250,44100,0.0009410954620085704,2.9222431619520313,-21896.98366185258,-141.31858713268326,8.975389544035337e-08,(-0.0009185460647181068+0.000204777429430111j),(-137582.8060157036-887.9308703034536j),(-0.97983395984351+0.02136487635708907j)
0,250,44100,0.0011110097393394157,3.081880538579143,21552.35819614705,-151.63567652931982,1.1675167324222218e-07,(-0.0011090296547947946+6.630132496997863e-05j),(135417.46035310268-952.7550548132588j),(-0.9761684897385745-0.06932845457002568j)
0,250,44100,0.0011110097393394157,-3.081880538579143,-21552.35819614705,-151.63567652931982,1.1675167324222218e-07,(-0.0011090296547947946-6.630132496997863e-05j),(-135417.46035310268-952.7550548132588j),(-0.9761684897385745+0.06932845457002568j)
0,250,44100,0.000932313357325623,-3.1019932313500993,21732.154310202113,-163.14651997701364,7.653968071671166e-08,(-0.0009315824659165314-3.6909422166289836e-05j),(136547.15265522143-1025.079817237053j),(-0.976021980478321-0.04422972345637796j)
0,250,44100,0.000932313357325623,3.1019932313500993,-21732.154310202113,-163.14651997701364,7.653968071671166e-08,(-0.0009315824659165314+3.6909422166289836e-05j),(-136547.15265522143-1025.079817237053j),(-0.976021980478321+0.04422972345637796j)
0,250,44100,0.0011157937837471396,-3.111981544448869,21348.008574288382,-142.62296230872855,1.25038990664148e-07,(-0.0011153046455723843-3.3035063393562316e-05j),(134133.4938115126-896.1265012446312j),(-0.9749877489475384-0.09784165053684682j)
0,250,44100,0.0011157937837471396,3.111981544448869,-21348.008574288382,-142.62296230872855,1.25038990664148e-07,(-0.0011153046455723843+3.3035063393562316e-05j),(-134133.4938115126-896.1265012446312j),(-0.9749877489475384+0.09784165053684682j)
0,250,44100,0.0012225179532503125,3.0770437481733772,21146.412428116415,-124.35944911639031,1.7168442985947847e-07,(-0.001219971989497992+7.885740840050926e-05j),(132866.82786790087-781.3734634970509j),(-0.9743076817846632-0.1261293870645654j)
0,250,44100,0.0012225179532503125,-3.0770437481733772,-21146.412428116415,-124.35944911639031,1.7168442985947847e-07,(-0.001219971989497992-7.885740840050926e-05j),(-132866.82786790087-781.3734634970509j),(-0.9743076817846632+0.1261293870645654j)
0,250,44100,0.001050189676225016,-3.0155132568530583,20921.07879747433,-121.40022041023308,1.2972351318422213e-07,(-0.0010418538122122826-0.00013205676820344207j),(131451.01491063708-762.7800811699398j),(-0.9701659283823008-0.15740512992785582j)
0,250,44100,0.001050189676225016,3.0155132568530583,-20921.07879747433,-121.40022041023308,1.2972351318422213e-07,(-0.0010418538122122826+0.00013205676820344207j),(-131451.01491063708-762.7800811699398j),(-0.9701659283823008+0.15740512992785582j)
0,250,44100,0.0005977775332672067,3.016207089469159,20770.055282066598,-97.96700074197112,5.187178594783118e-08,(-0.0005930846947163458+7.47564323135164e-05j),(130502.1061775886-615.5448196504045j),(-0.9697870895866103-0.17883842754869775j)
0,250,44100,0.0005977775332672067,-3.016207089469159,-20770.055282066598,-97.96700074197112,5.187178594783118e-08,(-0.0005930846947163458-7.47564323135164e-05j),(-130502.1061775886-615.5448196504045j),(-0.9697870895866103+0.17883842754869775j)
0,250,44100,0.0009438770255691525,-2.8989547344769715,20654.679157327893,-112.81031183787167,1.1261386017880386e-07,(-0.0009162285603670874-0.00022677977106639151j),(129777.17660583105-708.8080938380626j),(-0.9646741314011353-0.19434377475054537j)
