,onset,duration,sample_rate,amplitude,phase,frequency,decay,power,d,w,z
13,250,250,44100,0.0003683334161314,-2.812784693688189,150.793576133402,-106.27919670684578,1.8182705726460663e-08,(-0.00034860103757981635-0.00011894041381029996j),(947.4639819784578-667.7718872073025j),(0.9847445337091141-0.02115994460271113j)
28,500,250,44100,5.22801943054485e-05,2.8057429477002995,172.17900041924463,38.20638958518518,1.4189195737339788e-08,(-4.9359331825957146e-05+1.723006321260906e-05j),(1081.8325656390657+240.05782568201468j),(1.005155810023288-0.024662777124642283j)
44,750,250,44100,1.5494283176661388e-05,1.936328686951381,692.9289200057033,54.65255012667041,2.941356661208025e-09,(-5.538377820544358e-06+1.4470631716531054e-05j),(4353.800809099654+343.39209995579137j),(1.0029095801458459-0.09933583593095133j)
60,1250,250,44100,0.000420670639981,-1.7609461629964749,88.79905293754116,-34.602165946430446,6.601239582454565e-08,(-7.950928871114593e-05-0.00041308844131826566j),(557.9409047086209-217.41182067120158j),(0.9950025207420706-0.012589166187489323j)
80,1500,250,44100,7.186657469689168e-05,1.115499802923701,394.32985579915606,4.3906858924777765,6.059979331363692e-09,(3.1601791894528065e-05+6.454557543099955e-05j),(2477.6475561395023+27.587493088057055j),(0.999046954428633-0.05618807092477616j)
96,1750,250,44100,8.159228641840332e-06,2.9711025201350383,415.1737716400451,120.21428595131408,4.0022720854192186e-08,(-8.040933914255708e-06+1.3843387650427196e-06j),(2608.6137418950643+755.3286352023819j),(1.0154959547894755-0.06013901772244081j)
102,2000,250,44100,0.0006286874236471,0.0947640317955058,299.6998904656735,-26.19897019995893,1.7968523052779946e-07,(0.0006258666592903318+5.9487825989022454e-05j),(1883.069948337251-164.61298462361776j),(0.9953661268167351-0.04252798253833223j)
117,2250,250,44100,7.182358716788939e-05,-0.7772661164669221,572.5283523793172,56.03297228490099,6.813544905435529e-08,(5.119826354228901e-05-5.0372268997115115e-05j),(3597.301731613463+352.06554817809086j),(1.0046635380874185-0.08213413123000274j)
122,2500,250,44100,0.000515677134345,1.921532733887312,290.1814707800694,-137.57922839882016,2.7666399373241027e-08,(-0.00017718123593397648+0.0004842826824482385j),(1823.2639536210945-864.4357864485713j),(0.9797511979152794-0.04052978565543222j)
141,2750,250,44100,0.0011915907997598,2.8764215668213926,541.791195417331,-56.66291042993203,3.483437942431652e-07,(-0.001149941933894345+0.00031228541871756576j),(3404.174478605438-356.0235662753819j),(0.9890055106869828-0.07649547308613366j)
165,3000,250,44100,0.0002766239834072,-2.702746630923086,406.81906386271294,35.58987421267678,3.489596206424852e-07,(-0.00025041180986420556-0.00011753618028781238j),(2556.1195647427517+223.6177747374604j),(1.0033957182334994-0.05822393444338327j)
184,3250,250,44100,5.533004517341324e-05,2.180968086026273,360.7296457876557,98.0059233264328,4.651652534997488e-07,(-3.170457145885475e-05+4.5345716969768176e-05j),(2266.531210277095+615.7893774612116j),(1.012722409347064-0.05209501442226772j)
190,3500,250,44100,0.0020086522294425,1.3285056580888182,88.17889666231926,-144.13174074363863,4.0106183952633756e-07,(0.0004819299322803561+0.001949981363812654j),(554.0443479119914-905.6064357386475j),(0.9795968059648805-0.012307678693953399j)
218,3750,250,44100,0.0003287745203133,2.918669364660605,535.4771221199206,8.760401095049923,1.4989761682400646e-07,(-0.0003206391040196686+7.268596962766672e-05j),(3364.5019860346943+55.04322344541764j),(0.9983364257928078-0.0763137640097175j)
221,4000,250,44100,0.0002978404669323,1.5013822170326498,279.8468981844108,-4.682814168019592,7.547967530302492e-08,(2.065773227704048e-05+0.00029712320986358245j),(1758.3299189320715-29.4229891767531j),(0.9985388045960564-0.03983427761607715j)
