Id,Level
DRSId(1),3
DynRId(1),1
HarmonicId(1),2
HarmonicId(2),2
HarmonicId(3),2
HarmonicId(4),2
SliceId(0),4
PairId(1),5
ResonanceId(1),6
ResonanceId(2),6
PairId(2),5
ResonanceId(3),6
ResonanceId(4),6
PairId(3),5
ResonanceId(5),6
ResonanceId(6),6
PairId(4),5
ResonanceId(7),6
ResonanceId(8),6
PairId(5),5
ResonanceId(9),6
ResonanceId(10),6
PairId(6),5
ResonanceId(11),6
ResonanceId(12),6
PairId(7),5
ResonanceId(13),6
ResonanceId(14),6
PairId(8),5
ResonanceId(15),6
ResonanceId(16),6
PairId(9),5
ResonanceId(17),6
ResonanceId(18),6
PairId(10),5
ResonanceId(19),6
ResonanceId(20),6
PairId(11),5
ResonanceId(21),6
ResonanceId(22),6
PairId(12),5
ResonanceId(23),6
ResonanceId(24),6
PairId(13),5
ResonanceId(25),6
ResonanceId(26),6
PairId(14),5
ResonanceId(27),6
ResonanceId(28),6
PairId(15),5
ResonanceId(29),6
ResonanceId(30),6
PairId(16),5
ResonanceId(31),6
ResonanceId(32),6
PairId(17),5
ResonanceId(33),6
ResonanceId(34),6
PairId(18),5
ResonanceId(35),6
ResonanceId(36),6
PairId(19),5
ResonanceId(37),6
ResonanceId(38),6
PairId(20),5
ResonanceId(39),6
ResonanceId(40),6
PairId(21),5
ResonanceId(41),6
ResonanceId(42),6
PairId(22),5
ResonanceId(43),6
ResonanceId(44),6
PairId(23),5
ResonanceId(45),6
ResonanceId(46),6
PairId(24),5
ResonanceId(47),6
ResonanceId(48),6
PairId(25),5
ResonanceId(49),6
ResonanceId(50),6
PairId(26),5
ResonanceId(51),6
ResonanceId(52),6
PairId(27),5
ResonanceId(53),6
ResonanceId(54),6
PairId(28),5
ResonanceId(55),6
ResonanceId(56),6
PairId(29),5
ResonanceId(57),6
ResonanceId(58),6
PairId(30),5
ResonanceId(59),6
ResonanceId(60),6
PairId(31),5
ResonanceId(61),6
ResonanceId(62),6
PairId(32),5
ResonanceId(63),6
ResonanceId(64),6
PairId(33),5
ResonanceId(65),6
ResonanceId(66),6
PairId(34),5
ResonanceId(67),6
ResonanceId(68),6
PairId(35),5
ResonanceId(69),6
ResonanceId(70),6
PairId(36),5
ResonanceId(71),6
ResonanceId(72),6
PairId(37),5
ResonanceId(73),6
ResonanceId(74),6
PairId(38),5
ResonanceId(75),6
ResonanceId(76),6
PairId(39),5
ResonanceId(77),6
ResonanceId(78),6
PairId(40),5
ResonanceId(79),6
ResonanceId(80),6
PairId(41),5
ResonanceId(81),6
ResonanceId(82),6
PairId(42),5
ResonanceId(83),6
ResonanceId(84),6
PairId(43),5
ResonanceId(85),6
ResonanceId(86),6
PairId(44),5
ResonanceId(87),6
ResonanceId(88),6
SliceId(1),4
PairId(45),5
ResonanceId(89),6
ResonanceId(90),6
PairId(46),5
ResonanceId(91),6
ResonanceId(92),6
PairId(47),5
ResonanceId(93),6
ResonanceId(94),6
PairId(48),5
ResonanceId(95),6
ResonanceId(96),6
PairId(49),5
ResonanceId(97),6
ResonanceId(98),6
PairId(50),5
ResonanceId(99),6
ResonanceId(100),6
PairId(51),5
ResonanceId(101),6
ResonanceId(102),6
PairId(52),5
ResonanceId(103),6
ResonanceId(104),6
PairId(53),5
ResonanceId(105),6
ResonanceId(106),6
PairId(54),5
ResonanceId(107),6
ResonanceId(108),6
PairId(55),5
ResonanceId(109),6
ResonanceId(110),6
PairId(56),5
ResonanceId(111),6
ResonanceId(112),6
PairId(57),5
ResonanceId(113),6
ResonanceId(114),6
PairId(58),5
ResonanceId(115),6
ResonanceId(116),6
PairId(59),5
ResonanceId(117),6
ResonanceId(118),6
PairId(60),5
ResonanceId(119),6
ResonanceId(120),6
PairId(61),5
ResonanceId(121),6
ResonanceId(122),6
PairId(62),5
ResonanceId(123),6
ResonanceId(124),6
PairId(63),5
ResonanceId(125),6
ResonanceId(126),6
PairId(64),5
ResonanceId(127),6
ResonanceId(128),6
PairId(65),5
ResonanceId(129),6
ResonanceId(130),6
PairId(66),5
ResonanceId(131),6
ResonanceId(132),6
PairId(67),5
ResonanceId(133),6
ResonanceId(134),6
PairId(68),5
ResonanceId(135),6
ResonanceId(136),6
PairId(69),5
ResonanceId(137),6
ResonanceId(138),6
PairId(70),5
ResonanceId(139),6
ResonanceId(140),6
PairId(71),5
ResonanceId(141),6
ResonanceId(142),6
PairId(72),5
ResonanceId(143),6
ResonanceId(144),6
PairId(73),5
ResonanceId(145),6
ResonanceId(146),6
PairId(74),5
ResonanceId(147),6
ResonanceId(148),6
PairId(75),5
ResonanceId(149),6
ResonanceId(150),6
PairId(76),5
ResonanceId(151),6
ResonanceId(152),6
PairId(77),5
ResonanceId(153),6
ResonanceId(154),6
PairId(78),5
ResonanceId(155),6
ResonanceId(156),6
PairId(79),5
ResonanceId(157),6
ResonanceId(158),6
PairId(80),5
ResonanceId(159),6
ResonanceId(160),6
PairId(81),5
ResonanceId(161),6
ResonanceId(162),6
PairId(82),5
ResonanceId(163),6
ResonanceId(164),6
PairId(83),5
ResonanceId(165),6
ResonanceId(166),6
PairId(84),5
ResonanceId(167),6
ResonanceId(168),6
PairId(85),5
ResonanceId(169),6
ResonanceId(170),6
PairId(86),5
ResonanceId(171),6
ResonanceId(172),6
PairId(87),5
ResonanceId(173),6
ResonanceId(174),6
PairId(88),5
ResonanceId(175),6
ResonanceId(176),6
SliceId(2),4
PairId(88),5
ResonanceId(175),6
ResonanceId(176),6
PairId(89),5
ResonanceId(177),6
ResonanceId(178),6
PairId(90),5
ResonanceId(179),6
ResonanceId(180),6
PairId(91),5
ResonanceId(181),6
ResonanceId(182),6
PairId(92),5
ResonanceId(183),6
ResonanceId(184),6
PairId(93),5
ResonanceId(185),6
ResonanceId(186),6
PairId(94),5
ResonanceId(187),6
ResonanceId(188),6
PairId(95),5
ResonanceId(189),6
ResonanceId(190),6
PairId(96),5
ResonanceId(191),6
ResonanceId(192),6
PairId(97),5
ResonanceId(193),6
ResonanceId(194),6
PairId(98),5
ResonanceId(195),6
ResonanceId(196),6
PairId(99),5
ResonanceId(197),6
ResonanceId(198),6
PairId(100),5
ResonanceId(199),6
ResonanceId(200),6
PairId(101),5
ResonanceId(201),6
ResonanceId(202),6
PairId(102),5
ResonanceId(203),6
ResonanceId(204),6
PairId(103),5
ResonanceId(205),6
ResonanceId(206),6
PairId(104),5
ResonanceId(207),6
ResonanceId(208),6
PairId(105),5
ResonanceId(209),6
ResonanceId(210),6
PairId(106),5
ResonanceId(211),6
ResonanceId(212),6
PairId(107),5
ResonanceId(213),6
ResonanceId(214),6
PairId(108),5
ResonanceId(215),6
ResonanceId(216),6
PairId(109),5
ResonanceId(217),6
ResonanceId(218),6
PairId(110),5
ResonanceId(219),6
ResonanceId(220),6
PairId(111),5
ResonanceId(221),6
ResonanceId(222),6
PairId(112),5
ResonanceId(223),6
ResonanceId(224),6
PairId(113),5
ResonanceId(225),6
ResonanceId(226),6
PairId(114),5
ResonanceId(227),6
ResonanceId(228),6
PairId(115),5
ResonanceId(229),6
ResonanceId(230),6
PairId(116),5
ResonanceId(231),6
ResonanceId(232),6
PairId(117),5
ResonanceId(233),6
ResonanceId(234),6
PairId(118),5
ResonanceId(235),6
ResonanceId(236),6
PairId(119),5
ResonanceId(237),6
ResonanceId(238),6
PairId(120),5
ResonanceId(239),6
ResonanceId(240),6
PairId(121),5
ResonanceId(241),6
ResonanceId(242),6
PairId(122),5
ResonanceId(243),6
ResonanceId(244),6
PairId(123),5
ResonanceId(245),6
ResonanceId(246),6
PairId(124),5
ResonanceId(247),6
ResonanceId(248),6
PairId(125),5
ResonanceId(249),6
ResonanceId(250),6
PairId(126),5
ResonanceId(251),6
ResonanceId(252),6
PairId(127),5
ResonanceId(253),6
ResonanceId(254),6
PairId(128),5
ResonanceId(255),6
ResonanceId(256),6
SliceId(3),4
PairId(129),5
ResonanceId(257),6
ResonanceId(258),6
PairId(130),5
ResonanceId(259),6
ResonanceId(260),6
PairId(131),5
ResonanceId(261),6
ResonanceId(262),6
PairId(132),5
ResonanceId(263),6
ResonanceId(264),6
PairId(133),5
ResonanceId(265),6
ResonanceId(266),6
PairId(134),5
ResonanceId(267),6
ResonanceId(268),6
PairId(135),5
ResonanceId(269),6
ResonanceId(270),6
PairId(136),5
ResonanceId(271),6
ResonanceId(272),6
PairId(137),5
ResonanceId(273),6
ResonanceId(274),6
PairId(138),5
ResonanceId(275),6
ResonanceId(276),6
PairId(139),5
ResonanceId(277),6
ResonanceId(278),6
PairId(140),5
ResonanceId(279),6
ResonanceId(280),6
PairId(141),5
ResonanceId(281),6
ResonanceId(282),6
PairId(142),5
ResonanceId(283),6
ResonanceId(284),6
PairId(143),5
ResonanceId(285),6
ResonanceId(286),6
PairId(144),5
ResonanceId(287),6
ResonanceId(288),6
PairId(145),5
ResonanceId(289),6
ResonanceId(290),6
PairId(146),5
ResonanceId(291),6
ResonanceId(292),6
PairId(147),5
ResonanceId(293),6
ResonanceId(294),6
PairId(148),5
ResonanceId(295),6
ResonanceId(296),6
PairId(149),5
ResonanceId(297),6
ResonanceId(298),6
PairId(150),5
ResonanceId(299),6
ResonanceId(300),6
PairId(151),5
ResonanceId(301),6
ResonanceId(302),6
PairId(152),5
ResonanceId(303),6
ResonanceId(304),6
PairId(153),5
ResonanceId(305),6
ResonanceId(306),6
PairId(154),5
ResonanceId(307),6
ResonanceId(308),6
PairId(155),5
ResonanceId(309),6
ResonanceId(310),6
PairId(156),5
ResonanceId(311),6
ResonanceId(312),6
PairId(157),5
ResonanceId(313),6
ResonanceId(314),6
PairId(158),5
ResonanceId(315),6
ResonanceId(316),6
PairId(159),5
ResonanceId(317),6
ResonanceId(318),6
PairId(160),5
ResonanceId(319),6
ResonanceId(320),6
PairId(161),5
ResonanceId(321),6
ResonanceId(322),6
PairId(162),5
ResonanceId(323),6
ResonanceId(324),6
PairId(163),5
ResonanceId(325),6
ResonanceId(326),6
PairId(164),5
ResonanceId(327),6
ResonanceId(328),6
PairId(165),5
ResonanceId(329),6
ResonanceId(330),6
PairId(166),5
ResonanceId(331),6
ResonanceId(332),6
PairId(167),5
ResonanceId(333),6
ResonanceId(334),6
PairId(168),5
ResonanceId(335),6
ResonanceId(336),6
PairId(169),5
ResonanceId(337),6
ResonanceId(338),6
PairId(170),5
ResonanceId(339),6
ResonanceId(340),6
PairId(171),5
ResonanceId(341),6
ResonanceId(342),6
PairId(172),5
ResonanceId(343),6
ResonanceId(344),6
PairId(173),5
ResonanceId(345),6
ResonanceId(346),6
PairId(174),5
ResonanceId(347),6
ResonanceId(348),6
PairId(175),5
ResonanceId(349),6
ResonanceId(350),6
SliceId(4),4
PairId(175),5
ResonanceId(349),6
ResonanceId(350),6
PairId(176),5
ResonanceId(351),6
ResonanceId(352),6
PairId(177),5
ResonanceId(353),6
ResonanceId(354),6
PairId(178),5
ResonanceId(355),6
ResonanceId(356),6
PairId(179),5
ResonanceId(357),6
ResonanceId(358),6
PairId(180),5
ResonanceId(359),6
ResonanceId(360),6
PairId(181),5
ResonanceId(361),6
ResonanceId(362),6
PairId(182),5
ResonanceId(363),6
ResonanceId(364),6
PairId(183),5
ResonanceId(365),6
ResonanceId(366),6
PairId(184),5
ResonanceId(367),6
ResonanceId(368),6
PairId(185),5
ResonanceId(369),6
ResonanceId(370),6
PairId(186),5
ResonanceId(371),6
ResonanceId(372),6
PairId(187),5
ResonanceId(373),6
ResonanceId(374),6
PairId(188),5
ResonanceId(375),6
ResonanceId(376),6
PairId(189),5
ResonanceId(377),6
ResonanceId(378),6
PairId(190),5
ResonanceId(379),6
ResonanceId(380),6
PairId(191),5
ResonanceId(381),6
ResonanceId(382),6
PairId(192),5
ResonanceId(383),6
ResonanceId(384),6
PairId(193),5
ResonanceId(385),6
ResonanceId(386),6
PairId(194),5
ResonanceId(387),6
ResonanceId(388),6
PairId(195),5
ResonanceId(389),6
ResonanceId(390),6
PairId(196),5
ResonanceId(391),6
ResonanceId(392),6
PairId(197),5
ResonanceId(393),6
ResonanceId(394),6
PairId(198),5
ResonanceId(395),6
ResonanceId(396),6
PairId(199),5
ResonanceId(397),6
ResonanceId(398),6
PairId(200),5
ResonanceId(399),6
ResonanceId(400),6
PairId(201),5
ResonanceId(401),6
ResonanceId(402),6
PairId(202),5
ResonanceId(403),6
ResonanceId(404),6
PairId(203),5
ResonanceId(405),6
ResonanceId(406),6
PairId(204),5
ResonanceId(407),6
ResonanceId(408),6
PairId(205),5
ResonanceId(409),6
ResonanceId(410),6
PairId(206),5
ResonanceId(411),6
ResonanceId(412),6
PairId(207),5
ResonanceId(413),6
ResonanceId(414),6
PairId(208),5
ResonanceId(415),6
ResonanceId(416),6
PairId(209),5
ResonanceId(417),6
ResonanceId(418),6
PairId(210),5
ResonanceId(419),6
ResonanceId(420),6
PairId(211),5
ResonanceId(421),6
ResonanceId(422),6
PairId(212),5
ResonanceId(423),6
ResonanceId(424),6
PairId(213),5
ResonanceId(425),6
ResonanceId(426),6
PairId(214),5
ResonanceId(427),6
ResonanceId(428),6
PairId(215),5
ResonanceId(429),6
ResonanceId(430),6
PairId(216),5
ResonanceId(431),6
ResonanceId(432),6
PairId(217),5
ResonanceId(433),6
ResonanceId(434),6
PairId(218),5
ResonanceId(435),6
ResonanceId(436),6
PairId(219),5
ResonanceId(437),6
ResonanceId(438),6
PairId(220),5
ResonanceId(439),6
ResonanceId(440),6
PairId(221),5
ResonanceId(441),6
