Id,Level
DRSId(1),3
SliceId(0),2
PairId(1),1
PairId(2),1
PairId(3),1
PairId(4),1
PairId(5),1
PairId(6),1
PairId(7),1
PairId(8),1
PairId(9),1
PairId(10),1
PairId(11),1
PairId(12),1
PairId(13),1
PairId(14),1
PairId(15),1
PairId(16),1
PairId(17),1
PairId(18),1
PairId(19),1
PairId(20),1
PairId(21),1
PairId(22),1
PairId(23),1
PairId(24),1
PairId(25),1
PairId(26),1
PairId(27),1
PairId(28),1
PairId(29),1
PairId(30),1
PairId(31),1
PairId(32),1
PairId(33),1
PairId(34),1
PairId(35),1
PairId(36),1
PairId(37),1
PairId(38),1
PairId(39),1
PairId(40),1
PairId(41),1
PairId(42),1
PairId(43),1
PairId(44),1
SliceId(1),2
PairId(45),1
PairId(46),1
PairId(47),1
PairId(48),1
PairId(49),1
PairId(50),1
PairId(51),1
PairId(52),1
PairId(53),1
PairId(54),1
PairId(55),1
PairId(56),1
PairId(57),1
PairId(58),1
PairId(59),1
PairId(60),1
PairId(61),1
PairId(62),1
PairId(63),1
PairId(64),1
PairId(65),1
PairId(66),1
PairId(67),1
PairId(68),1
PairId(69),1
PairId(70),1
PairId(71),1
PairId(72),1
PairId(73),1
PairId(74),1
PairId(75),1
PairId(76),1
PairId(77),1
PairId(78),1
PairId(79),1
PairId(80),1
PairId(81),1
PairId(82),1
PairId(83),1
PairId(84),1
PairId(85),1
PairId(86),1
PairId(87),1
PairId(88),1
SliceId(2),2
PairId(88),1
PairId(89),1
PairId(90),1
PairId(91),1
PairId(92),1
PairId(93),1
PairId(94),1
PairId(95),1
PairId(96),1
PairId(97),1
PairId(98),1
PairId(99),1
PairId(100),1
PairId(101),1
PairId(102),1
PairId(103),1
PairId(104),1
PairId(105),1
PairId(106),1
PairId(107),1
PairId(108),1
PairId(109),1
PairId(110),1
PairId(111),1
PairId(112),1
PairId(113),1
PairId(114),1
PairId(115),1
PairId(116),1
PairId(117),1
PairId(118),1
PairId(119),1
PairId(120),1
PairId(121),1
PairId(122),1
PairId(123),1
PairId(124),1
PairId(125),1
PairId(126),1
PairId(127),1
PairId(128),1
SliceId(3),2
PairId(129),1
PairId(130),1
PairId(131),1
PairId(132),1
PairId(133),1
PairId(134),1
PairId(135),1
PairId(136),1
PairId(137),1
PairId(138),1
PairId(139),1
PairId(140),1
PairId(141),1
PairId(142),1
PairId(143),1
PairId(144),1
PairId(145),1
PairId(146),1
PairId(147),1
PairId(148),1
PairId(149),1
PairId(150),1
PairId(151),1
PairId(152),1
PairId(153),1
PairId(154),1
PairId(155),1
PairId(156),1
PairId(157),1
PairId(158),1
PairId(159),1
PairId(160),1
PairId(161),1
PairId(162),1
PairId(163),1
PairId(164),1
PairId(165),1
PairId(166),1
PairId(167),1
PairId(168),1
PairId(169),1
PairId(170),1
PairId(171),1
PairId(172),1
PairId(173),1
PairId(174),1
PairId(175),1
SliceId(4),2
PairId(175),1
PairId(176),1
PairId(177),1
PairId(178),1
PairId(179),1
PairId(180),1
PairId(181),1
PairId(182),1
PairId(183),1
PairId(184),1
PairId(185),1
PairId(186),1
PairId(187),1
PairId(188),1
PairId(189),1
PairId(190),1
PairId(191),1
PairId(192),1
PairId(193),1
PairId(194),1
PairId(195),1
PairId(196),1
PairId(197),1
PairId(198),1
PairId(199),1
PairId(200),1
PairId(201),1
PairId(202),1
PairId(203),1
PairId(204),1
PairId(205),1
PairId(206),1
PairId(207),1
PairId(208),1
PairId(209),1
PairId(210),1
PairId(211),1
PairId(212),1
PairId(213),1
PairId(214),1
PairId(215),1
PairId(216),1
PairId(217),1
PairId(218),1
PairId(219),1
PairId(220),1
PairId(221),1
PairId(222),1
PairId(223),1
PairId(224),1
PairId(225),1
PairId(226),1
PairId(227),1
PairId(228),1
PairId(229),1
SliceId(5),2
PairId(230),1
PairId(231),1
PairId(232),1
PairId(233),1
PairId(234),1
PairId(235),1
PairId(236),1
PairId(237),1
PairId(238),1
PairId(239),1
PairId(240),1
PairId(241),1
PairId(242),1
PairId(243),1
PairId(244),1
PairId(245),1
PairId(246),1
PairId(247),1
PairId(248),1
PairId(249),1
PairId(250),1
PairId(251),1
PairId(252),1
PairId(253),1
PairId(254),1
PairId(255),1
PairId(256),1
PairId(257),1
PairId(258),1
PairId(259),1
PairId(260),1
PairId(261),1
PairId(262),1
PairId(263),1
PairId(264),1
PairId(265),1
PairId(266),1
PairId(267),1
PairId(268),1
PairId(269),1
PairId(270),1
PairId(271),1
PairId(272),1
PairId(273),1
PairId(274),1
PairId(275),1
PairId(276),1
PairId(277),1
PairId(278),1
PairId(279),1
PairId(280),1
PairId(281),1
PairId(282),1
SliceId(6),2
PairId(282),1
PairId(283),1
PairId(284),1
PairId(285),1
PairId(286),1
PairId(287),1
PairId(288),1
PairId(289),1
PairId(290),1
PairId(291),1
PairId(292),1
PairId(293),1
PairId(294),1
PairId(295),1
PairId(296),1
PairId(297),1
PairId(298),1
PairId(299),1
PairId(300),1
PairId(301),1
PairId(302),1
PairId(303),1
PairId(304),1
PairId(305),1
PairId(306),1
PairId(307),1
PairId(308),1
PairId(309),1
PairId(310),1
PairId(311),1
PairId(312),1
PairId(313),1
PairId(314),1
PairId(315),1
PairId(316),1
PairId(317),1
PairId(318),1
PairId(319),1
PairId(320),1
PairId(321),1
PairId(322),1
PairId(323),1
PairId(324),1
PairId(325),1
PairId(326),1
PairId(327),1
PairId(328),1
PairId(329),1
PairId(330),1
PairId(331),1
PairId(332),1
PairId(333),1
PairId(334),1
PairId(335),1
PairId(336),1
PairId(337),1
SliceId(7),2
PairId(338),1
PairId(339),1
PairId(340),1
PairId(341),1
PairId(342),1
PairId(343),1
PairId(344),1
PairId(345),1
PairId(346),1
PairId(347),1
PairId(348),1
PairId(349),1
PairId(350),1
PairId(351),1
PairId(352),1
PairId(353),1
PairId(354),1
PairId(355),1
PairId(356),1
PairId(357),1
PairId(358),1
PairId(359),1
PairId(360),1
PairId(361),1
PairId(362),1
PairId(363),1
PairId(364),1
PairId(365),1
PairId(366),1
PairId(367),1
PairId(368),1
PairId(369),1
PairId(370),1
PairId(371),1
PairId(372),1
PairId(373),1
PairId(374),1
PairId(375),1
PairId(376),1
PairId(377),1
PairId(378),1
PairId(379),1
PairId(380),1
PairId(381),1
PairId(382),1
PairId(383),1
PairId(384),1
PairId(385),1
PairId(386),1
PairId(387),1
PairId(388),1
PairId(389),1
PairId(390),1
PairId(391),1
PairId(392),1
PairId(393),1
PairId(394),1
PairId(395),1
SliceId(8),2
PairId(395),1
PairId(396),1
PairId(397),1
PairId(398),1
PairId(399),1
PairId(400),1
PairId(401),1
PairId(402),1
PairId(403),1
PairId(404),1
PairId(405),1
PairId(406),1
PairId(407),1
PairId(408),1
PairId(409),1
PairId(410),1
PairId(411),1
PairId(412),1
PairId(413),1
PairId(414),1
PairId(415),1
PairId(416),1
PairId(417),1
PairId(418),1
PairId(419),1
PairId(420),1
PairId(421),1
PairId(422),1
PairId(423),1
PairId(424),1
PairId(425),1
PairId(426),1
PairId(427),1
PairId(428),1
PairId(429),1
PairId(430),1
PairId(431),1
PairId(432),1
PairId(433),1
PairId(434),1
PairId(435),1
PairId(436),1
PairId(437),1
PairId(438),1
PairId(439),1
PairId(440),1
PairId(441),1
PairId(442),1
PairId(443),1
PairId(444),1
PairId(445),1
PairId(446),1
PairId(447),1
PairId(448),1
PairId(449),1
PairId(450),1
PairId(451),1
PairId(452),1
PairId(453),1
SliceId(9),2
PairId(453),1
PairId(454),1
PairId(455),1
PairId(456),1
PairId(457),1
PairId(458),1
