Id,Level
DRSId(1),4
SliceId(7),3
ResonanceId(1),2
SliceId(8),3
ResonanceId(2),2
SliceId(9),3
ResonanceId(3),2
SliceId(10),3
ResonanceId(4),2
SliceId(11),3
ResonanceId(5),2
SliceId(12),3
ResonanceId(6),2
SliceId(13),3
ResonanceId(7),2
SliceId(14),3
ResonanceId(8),2
ResonanceId(9),2
SliceId(15),3
ResonanceId(10),2
ResonanceId(11),2
SliceId(16),3
ResonanceId(12),2
ResonanceId(13),2
SliceId(17),3
ResonanceId(14),2
ResonanceId(15),2
SliceId(18),3
ResonanceId(16),2
ResonanceId(17),2
ResonanceId(18),2
SliceId(19),3
ResonanceId(19),2
ResonanceId(20),2
ResonanceId(21),2
SliceId(20),3
ResonanceId(22),2
ResonanceId(23),2
ResonanceId(24),2
SliceId(21),3
ResonanceId(25),2
ResonanceId(26),2
ResonanceId(27),2
SliceId(22),3
ResonanceId(28),2
ResonanceId(29),2
ResonanceId(30),2
SliceId(23),3
ResonanceId(31),2
ResonanceId(32),2
ResonanceId(33),2
SliceId(24),3
ResonanceId(34),2
ResonanceId(35),2
ResonanceId(36),2
SliceId(25),3
ResonanceId(37),2
ResonanceId(38),2
ResonanceId(39),2
SliceId(26),3
ResonanceId(40),2
ResonanceId(41),2
ResonanceId(42),2
SliceId(27),3
ResonanceId(43),2
ResonanceId(44),2
ResonanceId(45),2
SliceId(28),3
ResonanceId(46),2
ResonanceId(47),2
ResonanceId(48),2
SliceId(29),3
ResonanceId(49),2
ResonanceId(50),2
ResonanceId(51),2
SliceId(30),3
ResonanceId(52),2
ResonanceId(53),2
ResonanceId(54),2
SliceId(31),3
ResonanceId(55),2
ResonanceId(56),2
ResonanceId(57),2
SliceId(32),3
ResonanceId(58),2
ResonanceId(59),2
ResonanceId(60),2
SliceId(33),3
ResonanceId(61),2
ResonanceId(62),2
ResonanceId(63),2
SliceId(34),3
ResonanceId(64),2
ResonanceId(65),2
ResonanceId(66),2
SliceId(35),3
ResonanceId(67),2
ResonanceId(68),2
ResonanceId(69),2
SliceId(36),3
ResonanceId(70),2
ResonanceId(71),2
ResonanceId(72),2
SliceId(37),3
ResonanceId(73),2
ResonanceId(74),2
ResonanceId(75),2
SliceId(38),3
ResonanceId(76),2
ResonanceId(77),2
ResonanceId(78),2
SliceId(39),3
ResonanceId(79),2
ResonanceId(80),2
ResonanceId(81),2
SliceId(40),3
ResonanceId(82),2
ResonanceId(83),2
ResonanceId(84),2
SliceId(41),3
ResonanceId(85),2
ResonanceId(86),2
ResonanceId(87),2
SliceId(42),3
ResonanceId(88),2
ResonanceId(89),2
ResonanceId(90),2
SliceId(43),3
ResonanceId(91),2
ResonanceId(92),2
ResonanceId(93),2
SliceId(44),3
ResonanceId(94),2
ResonanceId(95),2
ResonanceId(96),2
SliceId(45),3
ResonanceId(97),2
ResonanceId(98),2
ResonanceId(99),2
SliceId(46),3
ResonanceId(100),2
ResonanceId(101),2
ResonanceId(102),2
SliceId(47),3
ResonanceId(103),2
ResonanceId(104),2
ResonanceId(105),2
SliceId(48),3
ResonanceId(106),2
ResonanceId(107),2
ResonanceId(108),2
SliceId(49),3
ResonanceId(109),2
ResonanceId(110),2
ResonanceId(111),2
SliceId(50),3
ResonanceId(112),2
ResonanceId(113),2
ResonanceId(114),2
