Note,Frequency,Notename
"C0",16.35,"c,,,"
"C#0/Db0",17.32,"des,,,"
"D0",18.35,"d,,,"
"D#0/Eb0",9.45,"ees,,,"
"E0",20.60,"e,,,"
"F0",21.83,"f,,,"
"F#0/Gb0",23.12,"ges,,,"
"G0",24.50,"g,,,"
"G#0/Ab0",25.96,"aes,,,"
"A0",27.50,"a,,,"
"A#0/Bb0",29.14,"bes,,,"
"B0",30.87,"b,,,"
"C1",32.70,"c,,"
"C#1/Db1",34.65,"des,,"
"D1",36.71,"d,,"
"D#1/Eb1",38.89,"ees,,"
"E1",41.20,"e,,"
"F1",43.65,"f,,"
"F#1/Gb1",46.25,"ges,,"
"G1",49.00,"g,,"
"G#1/Ab1",51.91,"aes,,"
"A1",55.00,"a,,"
"A#1/Bb1",58.27,"bes,,"
"B1",61.74,"b,,"
"C2",65.41,"c,"
"C#2/Db2",69.30,"des,"
"D2",73.42,"d,"
"D#2/Eb2",77.78,"ees,"
"E2",82.41,"e,"
"F2",87.31,"f,"
"F#2/Gb2",92.50,"ges,"
"G2",98.00,"g,"
"G#2/Ab2",103.83,"aes,"
"A2",110.00,"a,"
"A#2/Bb2",116.54,"bes,"
"B2",123.47,"b,"
"C3",130.81,"c"
"C#3/Db3",138.59,"des"
"D3",146.83,"d"
"D#3/Eb3",155.56,"ees"
"E3",164.81,"e"
"F3",174.61,"f"
"F#3/Gb3",185.00,"ges"
"G3",196.00,"g"
"G#3/Ab3",207.65,"aes"
"A3",220.00,"a"
"A#3/Bb3",233.08,"bes"
"B3",246.94,"b"
"C4",261.63,"c'"
"C#4/Db4",277.18,"des'"
"D4",293.66,"d'"
"D#4/Eb4",311.13,"ees'"
"E4",329.63,"e'"
"F4",349.23,"f'"
"F#4/Gb4",369.99,"ges'"
"G4",392.00,"g'"
"G#4/Ab4",415.30,"aes'"
"A4",440.00,"a'"
"A#4/Bb4",466.16,"bes'"
"B4",493.88,"b'"
"C5",523.25,"c''"
"C#5/Db5",554.37,"des''"
"D5",587.33,"d''"
"D#5/Eb5",622.25,"ees''"
"E5",659.25,"e''"
"F5",698.46,"f''"
"F#5/Gb5",739.99,"ges''"
"G5",783.99,"g''"
"G#5/Ab5",830.61,"aes''"
"A5",880.00,"a''"
"A#5/Bb5",932.33,"bes''"
"B5",987.77,"b''"
"C6",1046.50,"c'''"
"C#6/Db6",1108.73,"des'''"
"D6",1174.66,"d'''"
"D#6/Eb6",1244.51,"ees'''"
"E6",1318.51,"e'''"
"F6",1396.91,"f'''"
"F#6/Gb6",1479.98,"ges'''"
"G6",1567.98,"g'''"
"G#6/Ab6",1661.22,"aes'''"
"A6",1760.00,"a'''"
"A#6/Bb6",1864.66,"bes'''"
"B6",1975.53,"b'''"
"C7",2093.00,"c''''"
"C#7/Db7",2217.46,"des''''"
"D7",2349.32,"d''''"
"D#7/Eb7",2489.02,"ees''''"
"E7",2637.02,"e''''"
"F7",2793.83,"f''''"
"F#7/Gb7",2959.96,"ges''''"
"G7",3135.96,"g''''"
"G#7/Ab7",3322.44,"aes''''"
"A7",3520.00,"a''''"
"A#7/Bb7",3729.31,"bes''''"
"B7",3951.07,"b''''"
"C8",4186.01,"c'''''"
"C#8/Db8",4434.92,"des'''''"
"D8",4698.63,"d'''''"
"D#8/Eb8",4978.03,"ees'''''"
"E8",5274.04,"e'''''"
"F8",5587.65,"f'''''"
"F#8/Gb8",5919.91,"ges'''''"
"G8",6271.93,"g'''''"
"G#8/Ab8",6644.88,"aes'''''"
"A8",7040.00,"a'''''"
"A#8/Bb8",7458.62,"bes'''''"
"B8",7902.13,"b'''''"
